Model,Method,Domain,QWK,Series
GPT-4o-mini,Zero-shot (all),Quitting,0.0953,LLM
GPT-4o-mini,Zero-shot (select),Quitting,0.1585,LLM
GPT-4o-mini,Few-shot (all),Quitting,0.1082,LLM
GPT-4o-mini,Few-shot (select),Quitting,0.1650,LLM
GPT-4o-mini,PP,Quitting,0.2760,LLM
GPT-4o-mini,Hybrid RF+PP,Quitting,0.4183,LLM
GPT-5,Zero-shot (all),Quitting,0.0462,LLM
GPT-5,Zero-shot (select),Quitting,0.0826,LLM
GPT-5,Few-shot (all),Quitting,0.0992,LLM
GPT-5,Few-shot (select),Quitting,0.1122,LLM
GPT-5,PP,Quitting,0.4864,LLM
GPT-5,Hybrid RF+PP,Quitting,0.4832,LLM
DeepSeek-R1,Zero-shot (all),Quitting,0.0302,LLM
DeepSeek-R1,Zero-shot (select),Quitting,0.0761,LLM
DeepSeek-R1,Few-shot (all),Quitting,0.1056,LLM
DeepSeek-R1,Few-shot (select),Quitting,0.1702,LLM
DeepSeek-R1,PP,Quitting,0.4356,LLM
DeepSeek-R1,Hybrid RF+PP,Quitting,0.4007,LLM
Grok-4-Fast,Zero-shot (all),Quitting,0.0750,LLM
Grok-4-Fast,Zero-shot (select),Quitting,0.1854,LLM
Grok-4-Fast,Few-shot (all),Quitting,0.2156,LLM
Grok-4-Fast,Few-shot (select),Quitting,0.2218,LLM
Grok-4-Fast,PP,Quitting,0.4933,LLM
Grok-4-Fast,Hybrid RF+PP,Quitting,0.5388,LLM
Gemini-2.5-Pro,Zero-shot (all),Quitting,0.0836,LLM
Gemini-2.5-Pro,Zero-shot (select),Quitting,0.1506,LLM
Gemini-2.5-Pro,Few-shot (all),Quitting,0.1866,LLM
Gemini-2.5-Pro,Few-shot (select),Quitting,0.1744,LLM
Gemini-2.5-Pro,PP,Quitting,0.4882,LLM
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,0.4751,LLM
Demographics + History + Message Embedding (LR),Baseline reference,Content,0.4088,Best baseline LR
Demographics (RF),Baseline reference,Content,0.3562,Best baseline RF
Demographics + History + Message Embedding (LR),Baseline reference,Coping,0.3998,Best baseline LR
Embedding + Demo (RF),Baseline reference,Coping,0.4407,Best baseline RF
Embedding (LR),Baseline reference,Quitting,0.4898,Best baseline LR
Demographics + History + Message Embedding (RF),Baseline reference,Quitting,0.5437,Best baseline RF
