Model,Method,Domain,Kappa,Series
GPT-4o-mini,Few-shot (all),Quitting,0.0146,LLM
GPT-4o-mini,Few-shot (select),Quitting,0.1557,LLM
GPT-4o-mini,PP,Quitting,0.0981,LLM
GPT-4o-mini,Hybrid RF+PP,Quitting,0.1698,LLM
GPT-5,Zero-shot (all),Quitting,-0.0054,LLM
GPT-5,Zero-shot (select),Quitting,-0.0024,LLM
GPT-5,Few-shot (all),Quitting,0.0089,LLM
GPT-5,Few-shot (select),Quitting,0.0261,LLM
GPT-5,PP,Quitting,0.2178,LLM
GPT-5,Hybrid RF+PP,Quitting,0.2820,LLM
DeepSeek-R1,Zero-shot (all),Quitting,-0.0108,LLM
DeepSeek-R1,Zero-shot (select),Quitting,-0.0008,LLM
DeepSeek-R1,Few-shot (all),Quitting,0.0761,LLM
DeepSeek-R1,Few-shot (select),Quitting,0.0808,LLM
DeepSeek-R1,PP,Quitting,0.2077,LLM
DeepSeek-R1,Hybrid RF+PP,Quitting,0.2274,LLM
Grok-4-Fast,Zero-shot (all),Quitting,0.0326,LLM
Grok-4-Fast,Zero-shot (select),Quitting,0.0602,LLM
Grok-4-Fast,Few-shot (all),Quitting,0.0818,LLM
Grok-4-Fast,Few-shot (select),Quitting,0.0961,LLM
Grok-4-Fast,PP,Quitting,0.2367,LLM
Grok-4-Fast,Hybrid RF+PP,Quitting,0.2996,LLM
Gemini-2.5-Pro,Zero-shot (all),Quitting,0.0170,LLM
Gemini-2.5-Pro,Zero-shot (select),Quitting,0.0752,LLM
Gemini-2.5-Pro,Few-shot (all),Quitting,0.0686,LLM
Gemini-2.5-Pro,Few-shot (select),Quitting,0.0723,LLM
Gemini-2.5-Pro,PP,Quitting,0.2590,LLM
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,0.2262,LLM
Demographics + History + Message Embedding (LR),Baseline reference,Content,0.2378,Best baseline LR
Demographics (RF),Baseline reference,Content,0.2806,Best baseline RF
Demographics + History + Message Embedding (LR),Baseline reference,Coping,0.2194,Best baseline LR
Embedding + Demo (RF),Baseline reference,Coping,0.2590,Best baseline RF
Embedding (LR),Baseline reference,Quitting,0.2979,Best baseline LR
Demographics + History + Message Embedding (RF),Baseline reference,Quitting,0.3575,Best baseline RF
