k_train,domain,method,class,n,accuracy
3,coping,RF if RF predicts 1/5 else LLM,2,238,0.16806722689075632
3,coping,RF if RF predicts 1/5 else LLM,3,406,0.33497536945812806
3,coping,RF if RF predicts 1/5 else LLM,4,639,0.5117370892018779
3,coping,RF if RF predicts 1/5 else LLM,5,636,0.5314465408805031
3,coping,LLM if LLM predicts 2-4 else RF,1,183,0.14754098360655737
3,coping,LLM if LLM predicts 2-4 else RF,2,238,0.2184873949579832
3,coping,LLM if LLM predicts 2-4 else RF,3,406,0.3768472906403941
3,coping,LLM if LLM predicts 2-4 else RF,4,639,0.6056338028169014
3,coping,LLM if LLM predicts 2-4 else RF,5,636,0.41509433962264153
3,coping,Oracle true 1/5 RF else LLM,1,183,0.2896174863387978
3,coping,Oracle true 1/5 RF else LLM,2,238,0.19327731092436976
3,coping,Oracle true 1/5 RF else LLM,3,406,0.35467980295566504
3,coping,Oracle true 1/5 RF else LLM,4,639,0.5414710485133021
3,coping,Oracle true 1/5 RF else LLM,5,636,0.4827044025157233
3,coping,RF selected,1,183,0.2896174863387978
3,coping,RF selected,2,238,0.2689075630252101
3,coping,RF selected,3,406,0.33251231527093594
3,coping,RF selected,4,639,0.5868544600938967
3,coping,RF selected,5,636,0.4827044025157233
3,coping,LLM only,1,183,0.20765027322404372
3,coping,LLM only,2,238,0.19327731092436976
3,coping,LLM only,3,406,0.35467980295566504
3,coping,LLM only,4,639,0.5414710485133021
3,coping,LLM only,5,636,0.4669811320754717
3,quitting,RF if RF predicts 1/5 else LLM,1,208,0.32211538461538464
3,quitting,RF if RF predicts 1/5 else LLM,2,222,0.1981981981981982
3,quitting,RF if RF predicts 1/5 else LLM,3,368,0.30978260869565216
3,quitting,RF if RF predicts 1/5 else LLM,4,662,0.4259818731117825
3,quitting,RF if RF predicts 1/5 else LLM,5,642,0.6074766355140186
3,quitting,LLM if LLM predicts 2-4 else RF,1,208,0.16826923076923078
3,quitting,LLM if LLM predicts 2-4 else RF,2,222,0.25225225225225223
3,quitting,LLM if LLM predicts 2-4 else RF,3,368,0.3532608695652174
3,quitting,LLM if LLM predicts 2-4 else RF,4,662,0.5377643504531722
3,quitting,LLM if LLM predicts 2-4 else RF,5,642,0.45482866043613707
3,quitting,Oracle true 1/5 RF else LLM,1,208,0.27403846153846156
3,quitting,Oracle true 1/5 RF else LLM,2,222,0.24324324324324326
3,quitting,Oracle true 1/5 RF else LLM,3,368,0.3423913043478261
3,quitting,Oracle true 1/5 RF else LLM,4,662,0.5030211480362538
3,quitting,Oracle true 1/5 RF else LLM,5,642,0.5716510903426791
3,quitting,RF selected,1,208,0.27403846153846156
3,quitting,RF selected,2,222,0.25675675675675674
3,quitting,RF selected,3,368,0.36684782608695654
3,quitting,RF selected,4,662,0.486404833836858
3,quitting,RF selected,5,642,0.5716510903426791
3,quitting,LLM only,1,208,0.20673076923076922
3,quitting,LLM only,2,222,0.24324324324324326
3,quitting,LLM only,3,368,0.3423913043478261
3,quitting,LLM only,4,662,0.5030211480362538
3,quitting,LLM only,5,642,0.48909657320872274
