Model,Model_ID,Method,Category,Domain,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Kendall_Tau,Spearman_Rho,N
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (all),Generic LLM,Content,0.3358,0.1542,0.0057,0.0979,0.6277,0.3528,0.1438,0.1710,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (all),Generic LLM,Coping,0.2445,0.1636,0.0170,0.0584,0.3431,0.3224,0.0776,-0.0667,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (all),Generic LLM,Quitting,0.1606,0.1283,0.0248,0.0187,0.2555,0.2613,0.0219,-0.0626,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (select),Generic LLM,Content,0.3686,0.1795,0.0389,0.0250,0.6423,0.3185,0.0532,0.0495,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (select),Generic LLM,Coping,0.2847,0.1658,0.0112,0.0325,0.4672,0.3435,0.0707,0.0812,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (select),Generic LLM,Quitting,0.2409,0.1928,0.0544,0.0902,0.3540,0.3380,0.1027,-0.0114,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (all),Generic LLM,Content,0.3686,0.2489,0.0756,0.1145,0.6387,0.4151,0.0707,0.0458,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (all),Generic LLM,Coping,0.2628,0.2081,0.0204,0.0453,0.4234,0.3588,0.0146,-0.0605,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (all),Generic LLM,Quitting,0.2628,0.2204,0.0373,0.0553,0.4672,0.3696,0.0289,-0.0107,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (select),Generic LLM,Content,0.3540,0.2475,0.0573,0.0943,0.6241,0.3469,0.0580,0.1117,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (select),Generic LLM,Coping,0.2847,0.2196,0.0328,0.0073,0.4672,0.3308,-0.0020,-0.0541,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (select),Generic LLM,Quitting,0.2847,0.2289,0.0382,0.0740,0.5292,0.3736,0.0612,0.0430,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (w/ prob),Generic LLM,Content,0.3504,0.1968,0.0424,0.0312,0.5949,0.3595,0.0468,0.1476,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (w/ prob),Generic LLM,Coping,0.2847,0.1809,0.0370,0.0347,0.4416,0.3693,0.0578,0.0212,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (w/ prob),Generic LLM,Quitting,0.2117,0.1912,0.0423,0.0441,0.2883,0.2873,0.0477,-0.0122,274
DeepSeek-R1,deepseek_deepseek-r1-0528,PP,Personalized Prompt,Content,0.4379,0.3053,0.2006,0.2764,0.6615,0.4878,0.2658,0.3333,322
DeepSeek-R1,deepseek_deepseek-r1-0528,PP,Personalized Prompt,Coping,0.3870,0.3474,0.1800,0.3861,0.5975,0.4616,0.3223,0.7143,323
DeepSeek-R1,deepseek_deepseek-r1-0528,PP,Personalized Prompt,Quitting,0.4025,0.3698,0.2054,0.4434,0.6440,0.5171,0.3611,0.6000,323
DeepSeek-R1,deepseek_deepseek-r1-0528,Hybrid RF+PP,Hybrid,Content,0.3396,0.2265,0.0749,0.2492,0.5881,0.3879,0.2468,-0.6667,318
DeepSeek-R1,deepseek_deepseek-r1-0528,Hybrid RF+PP,Hybrid,Coping,0.3730,0.3409,0.1669,0.3179,0.5831,0.4696,0.2777,1.0000,319
DeepSeek-R1,deepseek_deepseek-r1-0528,Hybrid RF+PP,Hybrid,Quitting,0.4107,0.3659,0.2229,0.4060,0.6270,0.5075,0.3674,0.0000,319
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (all),Generic LLM,Content,0.3686,0.1721,0.0301,-0.0089,0.6788,0.2696,0.0086,-0.0091,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (all),Generic LLM,Coping,0.3212,0.1565,0.0334,-0.0067,0.5146,0.3270,0.0268,-0.0702,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (all),Generic LLM,Quitting,0.2810,0.2006,0.0530,0.0819,0.4599,0.3726,0.0610,-0.0391,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (select),Generic LLM,Content,0.3613,0.1771,0.0262,0.0646,0.6825,0.2803,0.1113,0.0028,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (select),Generic LLM,Coping,0.3066,0.1680,0.0170,0.0374,0.5109,0.3429,0.0676,0.1550,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (select),Generic LLM,Quitting,0.2883,0.2283,0.0492,0.1417,0.4854,0.3792,0.1273,0.0293,274
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (all),Generic LLM,Content,0.3139,0.1946,-0.0191,0.1223,0.6533,0.3314,0.0558,-0.1509,274
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (all),Generic LLM,Coping,0.2920,0.2132,0.0130,0.0445,0.4891,0.3454,-0.0007,-0.1434,274
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (all),Generic LLM,Quitting,0.3175,0.2645,0.0682,0.1493,0.5803,0.4041,0.1105,0.1276,274
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (select),Generic LLM,Content,0.3248,0.2036,0.0284,0.1597,0.6314,0.3397,0.1154,-0.0195,274
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (select),Generic LLM,Coping,0.2847,0.2224,0.0290,0.1361,0.5109,0.3907,0.1125,-0.0655,274
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (select),Generic LLM,Quitting,0.3139,0.2705,0.0813,0.1938,0.5474,0.3957,0.1606,-0.0166,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (w/ prob),Generic LLM,Content,0.3431,0.1446,-0.0167,0.0166,0.6679,0.2768,0.0449,0.0662,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (w/ prob),Generic LLM,Coping,0.3139,0.1648,0.0136,0.0993,0.5547,0.3490,0.1375,0.0607,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (w/ prob),Generic LLM,Quitting,0.2591,0.1775,0.0104,0.1740,0.5182,0.4071,0.1667,0.0658,274
Grok-4-Fast,x-ai_grok-4-fast,PP,Personalized Prompt,Content,0.4814,0.3012,0.2300,0.3211,0.7112,0.4412,0.3410,0.2000,322
Grok-4-Fast,x-ai_grok-4-fast,PP,Personalized Prompt,Coping,0.4365,0.3541,0.2265,0.4302,0.6594,0.5227,0.3687,0.3333,323
Grok-4-Fast,x-ai_grok-4-fast,PP,Personalized Prompt,Quitting,0.4365,0.3854,0.2315,0.4951,0.6718,0.5203,0.4211,0.3333,323
Grok-4-Fast,x-ai_grok-4-fast,Hybrid RF+PP,Hybrid,Content,0.4689,0.3094,0.1983,0.3205,0.7422,0.4546,0.3477,-0.2000,322
Grok-4-Fast,x-ai_grok-4-fast,Hybrid RF+PP,Hybrid,Coping,0.4272,0.3568,0.2033,0.4555,0.6656,0.4804,0.4079,0.5000,323
Grok-4-Fast,x-ai_grok-4-fast,Hybrid RF+PP,Hybrid,Quitting,0.4892,0.4254,0.2976,0.5498,0.7028,0.5492,0.4954,0.0000,323
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (all),Generic LLM,Content,0.3066,0.1686,-0.0373,0.0171,0.6606,0.3306,-0.0098,0.0256,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (all),Generic LLM,Coping,0.3431,0.2180,0.0662,0.0280,0.5657,0.3525,0.0300,-0.0756,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (all),Generic LLM,Quitting,0.3139,0.2350,0.0509,0.0653,0.5949,0.3970,0.0457,0.0557,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (select),Generic LLM,Content,0.3796,0.2009,0.0699,0.0771,0.6642,0.3021,0.1036,0.1633,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (select),Generic LLM,Coping,0.3321,0.2090,0.0503,0.0531,0.5511,0.3518,0.0636,0.0513,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (select),Generic LLM,Quitting,0.2847,0.2116,0.0221,0.1031,0.5365,0.3700,0.0826,0.0925,274
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (all),Generic LLM,Content,0.3248,0.2366,0.0175,0.1281,0.6387,0.3536,0.0947,0.0323,274
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (all),Generic LLM,Coping,0.2883,0.2291,0.0332,0.0805,0.4964,0.3456,0.0571,-0.0037,274
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (all),Generic LLM,Quitting,0.2883,0.2344,0.0294,0.1404,0.5328,0.3502,0.1009,0.0809,274
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (select),Generic LLM,Content,0.3759,0.2726,0.1071,0.1304,0.6204,0.3777,0.0817,0.0063,274
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (select),Generic LLM,Coping,0.2664,0.2273,0.0265,0.0558,0.4307,0.3360,0.0282,-0.0305,274
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (select),Generic LLM,Quitting,0.2920,0.2530,0.0546,0.1619,0.5292,0.4031,0.1071,-0.0145,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (w/ prob),Generic LLM,Content,0.3102,0.1690,-0.0182,0.0475,0.6606,0.3247,0.0239,0.0289,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (w/ prob),Generic LLM,Coping,0.3102,0.1783,0.0201,0.0467,0.5401,0.3689,0.0019,-0.0116,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (w/ prob),Generic LLM,Quitting,0.2555,0.1553,-0.0101,0.0606,0.5219,0.3680,0.0377,0.0455,274
Gemini-2.5-Pro,gemini-2.5-pro,PP,Personalized Prompt,Content,0.4224,0.2815,0.1626,0.2758,0.6739,0.4545,0.2564,0.3333,322
Gemini-2.5-Pro,gemini-2.5-pro,PP,Personalized Prompt,Coping,0.4334,0.3836,0.2335,0.4033,0.6347,0.5015,0.3443,0.7143,323
Gemini-2.5-Pro,gemini-2.5-pro,PP,Personalized Prompt,Quitting,0.4489,0.3970,0.2562,0.4805,0.6594,0.5219,0.3985,1.0000,323
Gemini-2.5-Pro,gemini-2.5-pro,Hybrid RF+PP,Hybrid,Content,0.4130,0.2859,0.1419,0.2712,0.7081,0.4822,0.2606,-0.5000,322
Gemini-2.5-Pro,gemini-2.5-pro,Hybrid RF+PP,Hybrid,Coping,0.4180,0.3713,0.2105,0.4090,0.6533,0.5130,0.3557,0.2000,323
Gemini-2.5-Pro,gemini-2.5-pro,Hybrid RF+PP,Hybrid,Quitting,0.4427,0.3783,0.2369,0.4787,0.6718,0.4954,0.4240,0.3333,323
