Model,Model_ID,Method,Category,Domain,Accuracy,F1,Kappa,QWK,N,Split,Source_File,Feature_Set,Classifier
GPT-5,gpt-5,Few-shot (all),Generic LLM,Content,0.402,0.2445,0.1029,0.141,306,digital_twin_7030,results_manuscript_gpt-5/generic_llm_3_few_shot_dt7030.json,,
GPT-5,gpt-5,Few-shot (all),Generic LLM,Coping,0.241,0.1962,0.0189,0.0815,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_3_few_shot_dt7030.json,,
GPT-5,gpt-5,Few-shot (all),Generic LLM,Quitting,0.2117,0.172,0.0179,0.1013,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_3_few_shot_dt7030.json,,
GPT-5,gpt-5,Few-shot (select),Generic LLM,Content,0.3464,0.2151,0.0372,0.1155,306,digital_twin_7030,results_manuscript_gpt-5/generic_llm_4_few_shot_select_dt7030.json,,
GPT-5,gpt-5,Few-shot (select),Generic LLM,Coping,0.2606,0.209,0.0455,0.083,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_4_few_shot_select_dt7030.json,,
GPT-5,gpt-5,Few-shot (select),Generic LLM,Quitting,0.2215,0.1945,0.0267,0.1137,307,digital_twin_7030,results_manuscript_gpt-5/generic_llm_4_few_shot_select_dt7030.json,,
GPT-5,gpt-5,PP,Personalized Prompt,Content,0.4575,0.3261,0.214,0.3439,306,digital_twin_7030,results_manuscript_gpt-5/digital_twin_4_cbtact_7030.json,,
GPT-5,gpt-5,PP,Personalized Prompt,Coping,0.3713,0.3315,0.1589,0.3913,307,digital_twin_7030,results_manuscript_gpt-5/digital_twin_4_cbtact_7030.json,,
GPT-5,gpt-5,PP,Personalized Prompt,Quitting,0.4072,0.3829,0.2121,0.4855,307,digital_twin_7030,results_manuscript_gpt-5/digital_twin_4_cbtact_7030.json,,
GPT-5,gpt-5,Hybrid RF+PP,Hybrid,Content,0.4739,0.3406,0.2447,0.37,306,digital_twin_7030,results_manuscript_hybrid_gpt-5/evaluation_results_gpt-5_text-only_hybrid-rf-digital-twin.json,,
GPT-5,gpt-5,Hybrid RF+PP,Hybrid,Coping,0.4267,0.3883,0.2378,0.4092,307,digital_twin_7030,results_manuscript_hybrid_gpt-5/evaluation_results_gpt-5_text-only_hybrid-rf-digital-twin.json,,
GPT-5,gpt-5,Hybrid RF+PP,Hybrid,Quitting,0.4463,0.412,0.2708,0.4816,307,digital_twin_7030,results_manuscript_hybrid_gpt-5/evaluation_results_gpt-5_text-only_hybrid-rf-digital-twin.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (all),Generic LLM,Content,0.3007,0.1621,-0.0087,0.0156,306,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_1_zero_shot_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (all),Generic LLM,Coping,0.2052,0.155,0.008,0.0183,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_1_zero_shot_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (all),Generic LLM,Quitting,0.1368,0.1055,-0.0077,0.0366,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_1_zero_shot_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (select),Generic LLM,Content,0.3725,0.2337,0.0465,0.1426,306,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_2_zero_shot_select_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (select),Generic LLM,Coping,0.2899,0.1872,0.0343,0.084,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_2_zero_shot_select_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (select),Generic LLM,Quitting,0.1987,0.157,-0.0011,0.0728,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_2_zero_shot_select_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (all),Generic LLM,Content,0.3137,0.2318,0.0396,0.0816,306,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_3_few_shot_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (all),Generic LLM,Coping,0.2182,0.203,0.0088,0.0767,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_3_few_shot_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (all),Generic LLM,Quitting,0.2866,0.2525,0.0748,0.1015,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_3_few_shot_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (select),Generic LLM,Content,0.3301,0.2296,0.0431,0.1209,306,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_4_few_shot_select_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (select),Generic LLM,Coping,0.2606,0.2188,0.0307,0.1053,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_4_few_shot_select_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Few-shot (select),Generic LLM,Quitting,0.3192,0.2567,0.082,0.1753,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/generic_llm_4_few_shot_select_dt7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,PP,Personalized Prompt,Content,0.4346,0.2996,0.1982,0.2801,306,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/digital_twin_4_cbtact_7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,PP,Personalized Prompt,Coping,0.3876,0.3527,0.1839,0.3892,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/digital_twin_4_cbtact_7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,PP,Personalized Prompt,Quitting,0.4007,0.3662,0.2031,0.4355,307,digital_twin_7030,results_manuscript_deepseek_deepseek-r1-0528/digital_twin_4_cbtact_7030.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Hybrid RF+PP,Hybrid,Content,0.3344,0.2251,0.0709,0.2645,302,digital_twin_7030,results_manuscript_hybrid_deepseek_deepseek-r1-0528/evaluation_results_deepseek_deepseek-r1-0528_text-only_hybrid-rf-digital-twin.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Hybrid RF+PP,Hybrid,Coping,0.3762,0.3472,0.1752,0.3239,303,digital_twin_7030,results_manuscript_hybrid_deepseek_deepseek-r1-0528/evaluation_results_deepseek_deepseek-r1-0528_text-only_hybrid-rf-digital-twin.json,,
DeepSeek-R1,deepseek_deepseek-r1-0528,Hybrid RF+PP,Hybrid,Quitting,0.4125,0.3656,0.2256,0.3984,303,digital_twin_7030,results_manuscript_hybrid_deepseek_deepseek-r1-0528/evaluation_results_deepseek_deepseek-r1-0528_text-only_hybrid-rf-digital-twin.json,,
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (all),Generic LLM,Content,0.3987,0.1897,0.0513,0.0816,306,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_1_zero_shot_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (all),Generic LLM,Coping,0.3127,0.1737,0.0455,0.0971,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_1_zero_shot_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (all),Generic LLM,Quitting,0.2834,0.1728,0.0412,0.0861,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_1_zero_shot_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (select),Generic LLM,Content,0.4183,0.193,0.084,0.1087,306,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_2_zero_shot_select_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (select),Generic LLM,Coping,0.329,0.1774,0.0603,0.1507,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_2_zero_shot_select_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (select),Generic LLM,Quitting,0.3094,0.222,0.0537,0.1906,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_2_zero_shot_select_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (all),Generic LLM,Content,0.3987,0.2305,0.077,0.1685,306,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_3_few_shot_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (all),Generic LLM,Coping,0.3225,0.2129,0.0593,0.1168,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_3_few_shot_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (all),Generic LLM,Quitting,0.355,0.2827,0.0924,0.2237,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_3_few_shot_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (select),Generic LLM,Content,0.3954,0.2518,0.0807,0.181,306,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_4_few_shot_select_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (select),Generic LLM,Coping,0.3388,0.2587,0.0817,0.0876,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_4_few_shot_select_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (select),Generic LLM,Quitting,0.3616,0.2822,0.1007,0.221,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/generic_llm_4_few_shot_select_dt7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,PP,Personalized Prompt,Content,0.4869,0.3076,0.2355,0.3274,306,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/digital_twin_4_cbtact_7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,PP,Personalized Prompt,Coping,0.4463,0.3659,0.2406,0.4382,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/digital_twin_4_cbtact_7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,PP,Personalized Prompt,Quitting,0.4397,0.3937,0.2346,0.4945,307,digital_twin_7030,results_manuscript_x-ai_grok-4-fast/digital_twin_4_cbtact_7030.json,,
Grok-4-Fast,x-ai_grok-4-fast,Hybrid RF+PP,Hybrid,Content,0.4739,0.3186,0.2021,0.325,306,digital_twin_7030,results_manuscript_hybrid_x-ai_grok-4-fast/evaluation_results_x-ai_grok-4-fast_text-only_hybrid-rf-digital-twin.json,,
Grok-4-Fast,x-ai_grok-4-fast,Hybrid RF+PP,Hybrid,Coping,0.4202,0.3585,0.1954,0.4549,307,digital_twin_7030,results_manuscript_hybrid_x-ai_grok-4-fast/evaluation_results_x-ai_grok-4-fast_text-only_hybrid-rf-digital-twin.json,,
Grok-4-Fast,x-ai_grok-4-fast,Hybrid RF+PP,Hybrid,Quitting,0.4919,0.4333,0.3003,0.5407,307,digital_twin_7030,results_manuscript_hybrid_x-ai_grok-4-fast/evaluation_results_x-ai_grok-4-fast_text-only_hybrid-rf-digital-twin.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (all),Generic LLM,Content,0.3922,0.2346,0.0607,0.1241,306,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_1_zero_shot_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (all),Generic LLM,Coping,0.2899,0.1999,0.0092,0.1142,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_1_zero_shot_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (all),Generic LLM,Quitting,0.2997,0.1906,0.0207,0.0939,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_1_zero_shot_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (select),Generic LLM,Content,0.3954,0.2542,0.0687,0.1603,306,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_2_zero_shot_select_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (select),Generic LLM,Coping,0.2866,0.1948,0.0003,0.1257,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_2_zero_shot_select_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (select),Generic LLM,Quitting,0.3322,0.2397,0.0724,0.1592,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_2_zero_shot_select_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (all),Generic LLM,Content,0.366,0.2741,0.081,0.1822,306,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_3_few_shot_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (all),Generic LLM,Coping,0.241,0.203,0.0048,0.1449,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_3_few_shot_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (all),Generic LLM,Quitting,0.3094,0.2362,0.0718,0.2013,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_3_few_shot_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (select),Generic LLM,Content,0.3824,0.2726,0.0914,0.2013,306,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_4_few_shot_select_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (select),Generic LLM,Coping,0.2997,0.2544,0.0733,0.1461,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_4_few_shot_select_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (select),Generic LLM,Quitting,0.316,0.2641,0.0787,0.1829,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_4_few_shot_select_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,PP,Personalized Prompt,Content,0.4281,0.2887,0.1677,0.2889,306,digital_twin_7030,results_manuscript_gemini-2.5-pro/digital_twin_4_cbtact_7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,PP,Personalized Prompt,Coping,0.4332,0.3913,0.2341,0.4152,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/digital_twin_4_cbtact_7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,PP,Personalized Prompt,Quitting,0.4495,0.404,0.256,0.4869,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/digital_twin_4_cbtact_7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Hybrid RF+PP,Hybrid,Content,0.4183,0.2902,0.1482,0.2875,306,digital_twin_7030,results_manuscript_hybrid_gemini-2.5-pro/evaluation_results_gemini-2.5-pro_text-only_hybrid-rf-digital-twin.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Hybrid RF+PP,Hybrid,Coping,0.4039,0.3607,0.1933,0.4105,307,digital_twin_7030,results_manuscript_hybrid_gemini-2.5-pro/evaluation_results_gemini-2.5-pro_text-only_hybrid-rf-digital-twin.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Hybrid RF+PP,Hybrid,Quitting,0.4365,0.3729,0.2277,0.4751,307,digital_twin_7030,results_manuscript_hybrid_gemini-2.5-pro/evaluation_results_gemini-2.5-pro_text-only_hybrid-rf-digital-twin.json,,
Logistic Regression,logistic_regression,Supervised — Demographics,Supervised Baseline,Content,0.4216,0.2414,0.1319,0.2323,306,digital_twin_7030,revision/figures/history_supervised_baselines.csv,Demographics,LR
Logistic Regression,logistic_regression,Supervised — Demographics,Supervised Baseline,Coping,0.355,0.2345,0.0744,0.1079,307,digital_twin_7030,revision/figures/history_supervised_baselines.csv,Demographics,LR
Logistic Regression,logistic_regression,Supervised — Demographics,Supervised Baseline,Quitting,0.3681,0.2504,0.084,0.1454,307,digital_twin_7030,revision/figures/history_supervised_baselines.csv,Demographics,LR
Random Forest,random_forest,Supervised — Demographics,Supervised Baseline,Content,0.4837,0.3303,0.2495,0.3479,306,digital_twin_7030,revision/figures/history_supervised_baselines.csv,Demographics,RF
Random Forest,random_forest,Supervised — Demographics,Supervised Baseline,Coping,0.4593,0.3886,0.2621,0.3568,307,digital_twin_7030,revision/figures/history_supervised_baselines.csv,Demographics,RF
Random Forest,random_forest,Supervised — Demographics,Supervised Baseline,Quitting,0.4691,0.3865,0.2751,0.4658,307,digital_twin_7030,revision/figures/history_supervised_baselines.csv,Demographics,RF
Logistic Regression,logistic_regression,Supervised — Demographics + History + Message Embedding,Supervised Baseline,Content,0.4837,0.2886,0.226,0.3249,306,digital_twin_7030,revision/figures/history_supervised_baselines.csv,Demographics + History + Message Embedding,LR
Logistic Regression,logistic_regression,Supervised — Demographics + History + Message Embedding,Supervised Baseline,Coping,0.4332,0.3367,0.206,0.3333,307,digital_twin_7030,revision/figures/history_supervised_baselines.csv,Demographics + History + Message Embedding,LR
Logistic Regression,logistic_regression,Supervised — Demographics + History + Message Embedding,Supervised Baseline,Quitting,0.5016,0.3743,0.2992,0.4798,307,digital_twin_7030,revision/figures/history_supervised_baselines.csv,Demographics + History + Message Embedding,LR
Random Forest,random_forest,Supervised — Demographics + History + Message Embedding,Supervised Baseline,Content,0.3627,0.209,0.0437,0.0416,306,digital_twin_7030,revision/figures/history_supervised_baselines.csv,Demographics + History + Message Embedding,RF
Random Forest,random_forest,Supervised — Demographics + History + Message Embedding,Supervised Baseline,Coping,0.355,0.2243,0.086,0.0654,307,digital_twin_7030,revision/figures/history_supervised_baselines.csv,Demographics + History + Message Embedding,RF
Random Forest,random_forest,Supervised — Demographics + History + Message Embedding,Supervised Baseline,Quitting,0.3485,0.2119,0.0512,0.0733,307,digital_twin_7030,revision/figures/history_supervised_baselines.csv,Demographics + History + Message Embedding,RF
