k_train,feature_set,domain,method,method_display,true_rating,predicted_rating,n,row_total,row_percent
7,Demo+History,Coping,Supervised RF,Supervised RF,2,2,23,94,0.24468085106382978
7,Demo+History,Coping,Supervised RF,Supervised RF,2,3,38,94,0.40425531914893614
7,Demo+History,Coping,Supervised RF,Supervised RF,2,4,21,94,0.22340425531914893
7,Demo+History,Coping,Supervised RF,Supervised RF,2,5,2,94,0.02127659574468085
7,Demo+History,Coping,Supervised RF,Supervised RF,3,1,6,163,0.03680981595092025
7,Demo+History,Coping,Supervised RF,Supervised RF,3,2,21,163,0.12883435582822086
7,Demo+History,Coping,Supervised RF,Supervised RF,3,3,67,163,0.4110429447852761
7,Demo+History,Coping,Supervised RF,Supervised RF,3,4,59,163,0.3619631901840491
7,Demo+History,Coping,Supervised RF,Supervised RF,3,5,10,163,0.06134969325153374
7,Demo+History,Coping,Supervised RF,Supervised RF,4,1,1,284,0.0035211267605633804
7,Demo+History,Coping,Supervised RF,Supervised RF,4,2,11,284,0.03873239436619718
7,Demo+History,Coping,Supervised RF,Supervised RF,4,3,62,284,0.21830985915492956
7,Demo+History,Coping,Supervised RF,Supervised RF,4,4,154,284,0.5422535211267606
7,Demo+History,Coping,Supervised RF,Supervised RF,4,5,56,284,0.19718309859154928
7,Demo+History,Coping,Supervised RF,Supervised RF,5,1,2,269,0.007434944237918215
7,Demo+History,Coping,Supervised RF,Supervised RF,5,2,8,269,0.02973977695167286
7,Demo+History,Coping,Supervised RF,Supervised RF,5,3,34,269,0.12639405204460966
7,Demo+History,Coping,Supervised RF,Supervised RF,5,4,109,269,0.4052044609665427
7,Demo+History,Coping,Supervised RF,Supervised RF,5,5,116,269,0.4312267657992565
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,1,1,15,88,0.17045454545454544
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,1,2,20,88,0.22727272727272727
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,1,3,24,88,0.2727272727272727
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,1,4,18,88,0.20454545454545456
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,1,5,11,88,0.125
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,2,1,8,94,0.0851063829787234
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,2,2,18,94,0.19148936170212766
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,2,3,35,94,0.3723404255319149
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,2,4,28,94,0.2978723404255319
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,2,5,5,94,0.05319148936170213
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,3,1,3,163,0.018404907975460124
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,3,2,15,163,0.09202453987730061
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,3,3,55,163,0.3374233128834356
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,3,4,73,163,0.44785276073619634
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,3,5,17,163,0.10429447852760736
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,4,1,1,284,0.0035211267605633804
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,4,2,3,284,0.01056338028169014
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,4,3,47,284,0.16549295774647887
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,4,4,160,284,0.5633802816901409
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,4,5,73,284,0.25704225352112675
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,5,1,1,269,0.0037174721189591076
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,5,2,0,269,0.0
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,5,3,29,269,0.10780669144981413
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,5,4,100,269,0.37174721189591076
7,Demo+History,Coping,LLM-PP (Grok-4-Fast),LLM-PP,5,5,139,269,0.516728624535316
7,Demo+History,Quitting,Supervised RF,Supervised RF,1,1,26,89,0.29213483146067415
7,Demo+History,Quitting,Supervised RF,Supervised RF,1,2,32,89,0.3595505617977528
7,Demo+History,Quitting,Supervised RF,Supervised RF,1,3,19,89,0.21348314606741572
7,Demo+History,Quitting,Supervised RF,Supervised RF,1,4,10,89,0.11235955056179775
7,Demo+History,Quitting,Supervised RF,Supervised RF,1,5,2,89,0.02247191011235955
7,Demo+History,Quitting,Supervised RF,Supervised RF,2,1,16,95,0.16842105263157894
7,Demo+History,Quitting,Supervised RF,Supervised RF,2,2,29,95,0.30526315789473685
7,Demo+History,Quitting,Supervised RF,Supervised RF,2,3,30,95,0.3157894736842105
7,Demo+History,Quitting,Supervised RF,Supervised RF,2,4,18,95,0.18947368421052632
7,Demo+History,Quitting,Supervised RF,Supervised RF,2,5,2,95,0.021052631578947368
7,Demo+History,Quitting,Supervised RF,Supervised RF,3,1,10,160,0.0625
7,Demo+History,Quitting,Supervised RF,Supervised RF,3,2,30,160,0.1875
7,Demo+History,Quitting,Supervised RF,Supervised RF,3,3,51,160,0.31875
7,Demo+History,Quitting,Supervised RF,Supervised RF,3,4,54,160,0.3375
7,Demo+History,Quitting,Supervised RF,Supervised RF,3,5,15,160,0.09375
7,Demo+History,Quitting,Supervised RF,Supervised RF,4,1,1,273,0.003663003663003663
7,Demo+History,Quitting,Supervised RF,Supervised RF,4,2,14,273,0.05128205128205128
7,Demo+History,Quitting,Supervised RF,Supervised RF,4,3,45,273,0.16483516483516483
7,Demo+History,Quitting,Supervised RF,Supervised RF,4,4,129,273,0.4725274725274725
7,Demo+History,Quitting,Supervised RF,Supervised RF,4,5,84,273,0.3076923076923077
7,Demo+History,Quitting,Supervised RF,Supervised RF,5,1,3,281,0.010676156583629894
7,Demo+History,Quitting,Supervised RF,Supervised RF,5,2,5,281,0.017793594306049824
7,Demo+History,Quitting,Supervised RF,Supervised RF,5,3,28,281,0.099644128113879
7,Demo+History,Quitting,Supervised RF,Supervised RF,5,4,103,281,0.3665480427046263
7,Demo+History,Quitting,Supervised RF,Supervised RF,5,5,142,281,0.505338078291815
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,1,1,19,89,0.21348314606741572
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,1,2,19,89,0.21348314606741572
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,1,3,23,89,0.25842696629213485
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,1,4,21,89,0.23595505617977527
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,1,5,7,89,0.07865168539325842
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,2,1,8,95,0.08421052631578947
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,2,2,26,95,0.2736842105263158
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,2,3,31,95,0.3263157894736842
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,2,4,26,95,0.2736842105263158
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,2,5,4,95,0.042105263157894736
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,3,1,4,160,0.025
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,3,2,17,160,0.10625
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,3,3,59,160,0.36875
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,3,4,68,160,0.425
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,3,5,12,160,0.075
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,4,1,1,273,0.003663003663003663
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,4,2,8,273,0.029304029304029304
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,4,3,31,273,0.11355311355311355
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,4,4,154,273,0.5641025641025641
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,4,5,79,273,0.2893772893772894
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,5,1,2,281,0.0071174377224199285
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,5,2,1,281,0.0035587188612099642
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,5,3,17,281,0.060498220640569395
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,5,4,109,281,0.3879003558718861
7,Demo+History,Quitting,LLM-PP (Grok-4-Fast),LLM-PP,5,5,152,281,0.5409252669039146
