Model,Domain,K,LLM Selection (Human Rating),LLM SE,LLM CI Lower,LLM CI Upper,Human Oracle (Human Rating),Human Oracle SE,Human Oracle CI Lower,Human Oracle CI Upper,Random Mean,Random SE,Random CI Lower,Random CI Upper,Bootstrap_N,N Messages
GPT-5,Coping,5,4.2,0.3120567711790743,3.5,4.7,5.0,0.03555228988393463,4.866666666666667,5.0,3.7112336834733894,0.3514489377681056,2.9856547619047618,4.376369047619047,2000,108
GPT-5,Coping,10,4.266666666666667,0.1815734152488324,3.85,4.55,4.933333333333333,0.08990294507776551,4.7,5.0,3.715475721288515,0.24756443809230533,3.2166666666666663,4.175,2000,108
GPT-5,Coping,15,4.265079365079365,0.1473383685828725,3.907896825396826,4.477777777777777,4.8,0.0894086684666191,4.633333333333334,4.977777777777778,3.7113269514472456,0.19953211161179554,3.306984126984127,4.077833333333333,2000,108
GPT-5,Coping,20,4.085476190476191,0.14461084800852325,3.8416666666666672,4.415505952380952,4.725,0.07557924146290178,4.575,4.875000000000001,3.714032107843137,0.1716551755554725,3.3713928571428573,4.054166666666666,2000,108
GPT-5,Coping,25,4.111714285714286,0.13693010413494763,3.812752380952382,4.35277619047619,4.673333333333333,0.0789698521572688,4.484738095238094,4.800000000000001,3.711989050420168,0.15380909072646393,3.4117976190476194,4.012568627450981,2000,108
GPT-5,Quitting,5,4.45,0.24934624435475902,4.0,5.0,5.0,0.030315443428677664,4.883333333333334,5.0,3.7215507282913163,0.370843940115806,2.933333333333333,4.35,2000,108
GPT-5,Quitting,10,4.6,0.16727154790396778,4.191666666666666,4.85,4.941666666666666,0.08161334443902565,4.725,5.0,3.7269303571428574,0.26141594773023336,3.1951785714285714,4.1917069327731085,2000,108
GPT-5,Quitting,15,4.4412698412698415,0.17906924528417623,4.044444444444445,4.75,4.812222222222222,0.08652546228596276,4.644444444444445,4.977777777777778,3.7304169887955183,0.2114435602052939,3.2997957516339866,4.115892857142858,2000,108
GPT-5,Quitting,20,4.289285714285714,0.16837136752069423,3.980907738095238,4.639285714285714,4.734166666666667,0.07675929420379125,4.57755357142857,4.879166666666667,3.7325591911764704,0.18151876288201652,3.3606845238095233,4.068101190476191,2000,108
GPT-5,Quitting,25,4.231428571428571,0.1551824189274668,3.914642857142857,4.536666666666666,4.667333333333333,0.07867868116759394,4.48685238095238,4.801383333333334,3.732160789915967,0.159241138068226,3.39395,4.024204761904762,2000,108
DeepSeek-R1,Content,5,4.0,0.6138304855932402,2.5,4.9,5.0,0.013352389146730993,5.0,5.0,3.9551330952380948,0.3198171582681645,3.266666666666667,4.531011904761904,2000,108
DeepSeek-R1,Content,10,4.2,0.3523863476350288,3.3824999999999994,4.7,5.0,0.05689210568416264,4.8,5.0,3.951164285714286,0.22389478005790045,3.4666666666666672,4.350125,2000,108
DeepSeek-R1,Content,15,4.055555555555555,0.24815242067329724,3.5943055555555556,4.533333333333333,4.888888888888889,0.08243859797581556,4.7,5.0,3.9495403174603174,0.18618629515237484,3.555555555555556,4.283361111111111,2000,108
DeepSeek-R1,Content,20,4.0625,0.19499108445844382,3.6583333333333328,4.424999999999999,4.791666666666667,0.07526941667299666,4.645833333333333,4.945833333333334,3.9472982142857145,0.16094001711664682,3.6101904761904766,4.2524999999999995,2000,108
DeepSeek-R1,Content,25,3.9686666666666666,0.16193449919922667,3.7,4.326666666666666,4.733333333333333,0.06489654881186331,4.603333333333333,4.863333333333334,3.945248619047619,0.14105853047645417,3.651988095238096,4.20867619047619,2000,108
DeepSeek-R1,Coping,5,4.1,0.29541293660343904,3.4,4.5,5.0,0.03619572271621668,4.866666666666667,5.0,3.7151468067226894,0.349213945011547,3.0,4.383749999999998,2000,108
DeepSeek-R1,Coping,10,4.25,0.20541996578974844,3.7,4.5,4.933333333333333,0.08887444577229975,4.7,5.0,3.7142238865546218,0.24913837132506814,3.2166666666666672,4.183333333333334,2000,108
DeepSeek-R1,Coping,15,4.124444444444444,0.16693149963833467,3.7777777777777777,4.433333333333334,4.8,0.08725452117008727,4.633333333333334,4.966944444444443,3.7098567833800185,0.1997226486184632,3.305527777777778,4.0889444444444445,2000,108
DeepSeek-R1,Coping,20,4.110000000000001,0.15098611539029633,3.7833035714285708,4.368333333333334,4.725,0.0745331153797303,4.574999999999999,4.866666666666667,3.709466582633053,0.17298824743463684,3.3549940476190474,4.033350490196078,2000,108
DeepSeek-R1,Coping,25,4.001333333333333,0.13745798503775403,3.7600000000000007,4.297433333333334,4.673333333333333,0.0790897070741099,4.479419047619047,4.793333333333334,3.7087533445378154,0.15330776487924933,3.401333333333333,3.998273389355742,2000,108
DeepSeek-R1,Quitting,5,4.4,0.3065849336411819,3.6,4.8,5.0,0.03227758297716986,4.87,5.0,3.7170409663865547,0.3598262410871636,2.9662499999999996,4.370095238095238,2000,108
DeepSeek-R1,Quitting,10,4.15,0.24097877966024298,3.6912499999999997,4.6,4.941666666666666,0.0844380136725478,4.71,5.0,3.722086099439776,0.2546705197295168,3.23328431372549,4.205005952380953,2000,108
DeepSeek-R1,Quitting,15,4.216666666666667,0.19346324409528226,3.777638888888889,4.533361111111111,4.812222222222222,0.08820079039410833,4.634416666666667,4.977777777777778,3.7261361064425773,0.20344665080137728,3.3166666666666673,4.1042532679738555,2000,108
DeepSeek-R1,Quitting,20,4.225833333333332,0.16861911725750045,3.816583333333333,4.483333333333333,4.734166666666667,0.07840539515031326,4.570815476190475,4.883354166666668,3.7264442471988795,0.17568399839339868,3.36731425070028,4.060184523809523,2000,108
DeepSeek-R1,Quitting,25,4.160666666666667,0.1580207949707606,3.8066357142857137,4.418049999999999,4.667333333333333,0.08012169971173581,4.4839690476190475,4.806683333333334,3.7268293081232495,0.15880883286614092,3.407983333333334,4.023361904761905,2000,108
Grok-4-Fast,Content,5,4.683333333333334,0.4342585343799075,3.2333333333333334,4.9,5.0,0.015152349181950435,4.99875,5.0,3.945012619047619,0.3106137069933058,3.233166666666666,4.5,2000,108
Grok-4-Fast,Content,10,4.616666666666667,0.306185899453322,3.6833333333333336,4.825,5.0,0.05925573163818929,4.791666666666666,5.0,3.942474523809524,0.22462586408842136,3.4666666666666663,4.341845238095237,2000,108
Grok-4-Fast,Content,15,4.377777777777778,0.2471175336628018,3.805555555555556,4.7555555555555555,4.888888888888889,0.08455921188931985,4.694444444444444,5.0,3.942155555555555,0.18375295158057947,3.5767261904761902,4.277777777777778,2000,108
Grok-4-Fast,Content,20,4.354166666666666,0.20729400345841373,3.8708333333333327,4.6751041666666655,4.791666666666667,0.07793588558262157,4.6457291666666665,4.945937499999999,3.94464119047619,0.158610512270068,3.605443452380953,4.241755952380952,2000,108
Grok-4-Fast,Content,25,4.283333333333333,0.1716038097203353,3.9033333333333338,4.576666666666666,4.733333333333333,0.06766612655455499,4.599916666666665,4.866666666666667,3.9443753333333333,0.14160149812891762,3.656654761904762,4.226716666666666,2000,108
Grok-4-Fast,Coping,5,3.7333333333333334,0.3547277050940193,3.333333333333333,4.666666666666666,5.0,0.03903530367528935,4.866666666666667,5.0,3.7087134593837536,0.33919012633730666,3.033333333333333,4.314345238095238,2000,108
Grok-4-Fast,Coping,10,4.15,0.242097550437703,3.6,4.550416666666665,4.933333333333333,0.09006835661187963,4.7,5.0,3.7077593347338937,0.23943541473853303,3.2083333333333335,4.1361477591036415,2000,108
Grok-4-Fast,Coping,15,4.25,0.17289516054051624,3.8331944444444446,4.5,4.8,0.08749643378623122,4.622222222222223,4.955833333333333,3.7115642203548087,0.19116704232293769,3.322214285714286,4.068705648926238,2000,108
Grok-4-Fast,Coping,20,4.255833333333333,0.13559692490222358,3.9341458333333343,4.4625,4.725,0.07478966750641632,4.559958333333333,4.866666666666668,3.708564219187675,0.1657282557077984,3.36575,4.029826680672269,2000,108
Grok-4-Fast,Coping,25,4.218,0.12385955874902325,3.922735714285714,4.408083333333333,4.673333333333333,0.07905920253146509,4.472709523809524,4.793333333333334,3.709980991596639,0.1499375541369413,3.3946666666666663,3.99935,2000,108
Grok-4-Fast,Quitting,5,4.45,0.2865223333769322,3.8,4.9,5.0,0.033299293900395335,4.883333333333334,5.0,3.7271821848739495,0.3520550112440859,2.9833333333333334,4.353428571428571,2000,108
Grok-4-Fast,Quitting,10,4.158333333333333,0.22888385495376182,3.825,4.708333333333333,4.941666666666666,0.08377297299730957,4.708333333333334,5.0,3.72615737394958,0.25761789850578204,3.1785714285714284,4.191666666666666,2000,108
Grok-4-Fast,Quitting,15,4.2555555555555555,0.19762534009181246,3.8666666666666667,4.638888888888888,4.812222222222222,0.08733411903012045,4.634444444444444,4.973333333333333,3.7252766479925303,0.2079279783413509,3.302321428571428,4.1042532679738555,2000,108
Grok-4-Fast,Quitting,20,4.321666666666666,0.17418232581083687,3.8999255952380953,4.583333333333333,4.734166666666667,0.07831681022672583,4.570818452380952,4.875833333333334,3.7261606722689073,0.17994186124559516,3.361720238095238,4.054419642857142,2000,108
Grok-4-Fast,Quitting,25,4.218761904761904,0.16293666794623113,3.8613,4.5048142857142865,4.667333333333333,0.080867658184161,4.480928571428572,4.798666666666666,3.72375787394958,0.16308142427772637,3.3970761904761906,4.029999999999999,2000,108
Gemini-2.5-Pro,Content,5,4.45,0.42717577054939837,3.3,4.9,5.0,0.014174913488961464,4.99875,5.0,3.9526933333333334,0.3129831249631198,3.266666666666667,4.5,2000,108
Gemini-2.5-Pro,Content,10,4.475,0.30604352662917667,3.6,4.75,5.0,0.0563713033782365,4.808333333333333,5.0,3.952870238095238,0.21991352034450418,3.4666666666666663,4.333511904761904,2000,108
Gemini-2.5-Pro,Content,15,4.55,0.2475158373966503,3.7333333333333334,4.683333333333334,4.888888888888889,0.08246083551088601,4.705555555555555,5.0,3.9537445238095237,0.18250829443197691,3.5802539682539676,4.282559523809524,2000,108
Gemini-2.5-Pro,Content,20,4.229166666666666,0.20827602419362803,3.7791666666666663,4.6,4.791666666666667,0.07553998307491881,4.654062499999999,4.945833333333334,3.9526960714285715,0.15843175988113342,3.607130952380952,4.252541666666666,2000,108
Gemini-2.5-Pro,Content,25,4.163333333333334,0.1711947570269834,3.813333333333334,4.483333333333333,4.733333333333333,0.06512960710575344,4.603333333333333,4.863333333333333,3.9490696666666665,0.13966939948664384,3.665321428571428,4.209999999999999,2000,108
Gemini-2.5-Pro,Coping,5,4.4,0.30521435373042954,3.6,4.8,5.0,0.04164431950333275,4.866666666666667,5.0,3.7069114845938373,0.3518414883885689,2.9663571428571425,4.366666666666666,2000,108
Gemini-2.5-Pro,Coping,10,4.3,0.18051508771537877,3.883083333333334,4.583333333333334,4.933333333333333,0.09219537825543976,4.699583333333334,5.0,3.7094677661064424,0.24515700211357097,3.2065833333333336,4.161095238095237,2000,108
Gemini-2.5-Pro,Coping,15,4.246666666666667,0.13106609103448585,4.024388888888889,4.526666666666667,4.8,0.08908937009601596,4.622222222222223,4.966666666666667,3.7071483893557424,0.20467291926690043,3.289781045751634,4.087614379084967,2000,108
Gemini-2.5-Pro,Coping,20,4.3100000000000005,0.11132529619499688,4.0600000000000005,4.508333333333333,4.725,0.07621001060865512,4.566666666666666,4.8585416666666665,3.7049192401960784,0.17562512920667742,3.349889880952381,4.037514880952381,2000,108
Gemini-2.5-Pro,Coping,25,4.261333333333333,0.11701685342376507,4.005983333333334,4.4600333333333335,4.673333333333333,0.0804815366834965,4.472752380952381,4.786666666666667,3.7040930672268906,0.15643547887581563,3.38,3.9996067226890752,2000,108
Gemini-2.5-Pro,Quitting,5,4.3,0.24344527507539315,3.95,4.9,5.0,0.03170021703732383,4.883333333333334,5.0,3.730914817927171,0.3601991207926543,2.9666666666666663,4.366666666666666,2000,108
Gemini-2.5-Pro,Quitting,10,4.4,0.15930008866291598,4.108125,4.725,4.941666666666666,0.08161805663918371,4.716666666666667,5.0,3.7293136974789913,0.2542679681186172,3.201160714285714,4.19675,2000,108
Gemini-2.5-Pro,Quitting,15,4.4622222222222225,0.12636272428527914,4.161,4.651138888888889,4.812222222222222,0.0860576275841837,4.642166666666666,4.966666666666667,3.731079901960785,0.20510895614748184,3.311078431372549,4.105583333333334,2000,108
Gemini-2.5-Pro,Quitting,20,4.384166666666667,0.11794024232138119,4.113273809523809,4.585979166666665,4.734166666666667,0.07704044517956937,4.572479166666667,4.88,3.7284485434173664,0.17776045586569258,3.387395833333334,4.058189950980392,2000,108
Gemini-2.5-Pro,Quitting,25,4.3406666666666665,0.12394058868049923,4.0353,4.52735,4.667333333333333,0.0790124159756334,4.48342619047619,4.803366666666667,3.7251373137254906,0.15913094445035286,3.406563725490196,4.02335,2000,108
