Model,Model_ID,Method,Category,Domain,Accuracy,Acc±1,Kappa,Kendall_Tau,Spearman_Rho,N
GPT-5,gpt-5,Few-shot (select),Generic LLM,Content,0.34306569343065696,0.7846715328467153,0.0499123499836257,0.024875123166512365,0.036727962026135916,274
GPT-5,gpt-5,Few-shot (select),Generic LLM,Coping,0.24452554744525548,0.635036496350365,0.02313084514562258,-0.011615216978777347,-0.15045221536876915,274
GPT-5,gpt-5,Few-shot (select),Generic LLM,Quitting,0.21897810218978103,0.5875912408759124,0.032249546129724305,0.07821971265174525,-0.04997788748681975,274
GPT-5,gpt-5,Continuous (NL),Generic LLM,Content,0.3686131386861314,0.8832116788321168,0.0336180709873396,0.028305973965903956,0.12103515527522679,274
GPT-5,gpt-5,Continuous (NL),Generic LLM,Coping,0.2518248175182482,0.6934306569343066,-0.00371680783388717,-0.03551658862047537,-0.2061008153033394,274
GPT-5,gpt-5,Continuous (NL),Generic LLM,Quitting,0.17883211678832117,0.5036496350364964,0.011686625306593701,0.05872843847337271,-0.1025664292496804,274
GPT-5,gpt-5,Digital Twin (70/30),Digital Twin,Content,0.453416149068323,0.8726708074534162,0.20831470719713907,0.32983382728011174,0.14285714285714285,322
GPT-5,gpt-5,Digital Twin (70/30),Digital Twin,Coping,0.37770897832817335,0.8235294117647058,0.1651922335090652,0.331201530393231,0.19999999999999998,323
GPT-5,gpt-5,Digital Twin (70/30),Digital Twin,Quitting,0.4055727554179567,0.8452012383900929,0.210118069619044,0.4310135429536597,0.49999999999999994,323
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (all),Generic LLM,Content,0.3357664233576642,0.8832116788321168,0.005682611209698152,0.14376210952429697,0.17099195182096477,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (all),Generic LLM,Coping,0.24452554744525548,0.6751824817518248,0.01695091514143099,0.0775773878954615,-0.06672123640847072,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (all),Generic LLM,Quitting,0.16058394160583941,0.4781021897810219,0.024820500123793,0.02192467161923073,-0.06255339903331861,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (select),Generic LLM,Content,0.3686131386861314,0.864963503649635,0.038927861806090425,0.053182404853294105,0.04946289240330253,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (select),Generic LLM,Coping,0.2846715328467153,0.7737226277372263,0.01124919451348616,0.0706854796527222,0.08120675244102284,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Zero-shot (select),Generic LLM,Quitting,0.24087591240875914,0.6021897810218978,0.0543572044866264,0.10270011037045391,-0.011371809106267056,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Continuous (NL),Generic LLM,Content,0.35036496350364965,0.8248175182481752,0.04235307977772984,0.04677133233155276,0.14761632022426305,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Continuous (NL),Generic LLM,Coping,0.2846715328467153,0.7262773722627737,0.036975935157622986,0.05779548057724302,0.021175200307082673,274
DeepSeek-R1,deepseek_deepseek-r1-0528,Continuous (NL),Generic LLM,Quitting,0.2116788321167883,0.5218978102189781,0.04228360600029135,0.04768874693472413,-0.012208940534380113,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (all),Generic LLM,Content,0.3686131386861314,0.8321167883211679,0.030098418349600142,0.00864869505859141,-0.009126302278287975,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (all),Generic LLM,Coping,0.32116788321167883,0.7846715328467153,0.03343637984334391,0.026823414775121724,-0.07023502691896259,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (all),Generic LLM,Quitting,0.28102189781021897,0.7007299270072993,0.053017543859649074,0.06102443654410156,-0.03909023212405974,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (select),Generic LLM,Content,0.3613138686131387,0.8248175182481752,0.02621798907414541,0.111315204017568,0.0027625096139152045,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (select),Generic LLM,Coping,0.30656934306569344,0.7883211678832117,0.017049638426826386,0.06761268435703469,0.155016701778357,274
Grok-4-Fast,x-ai_grok-4-fast,Zero-shot (select),Generic LLM,Quitting,0.28832116788321166,0.7153284671532847,0.04915290432801833,0.1273129195364488,0.02933454303735424,274
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (all),Generic LLM,Content,0.31386861313868614,0.781021897810219,-0.01913146700959545,0.055824625281907736,-0.1508711434927067,274
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (all),Generic LLM,Coping,0.291970802919708,0.7335766423357665,0.012960968544583507,-0.0007491385295079886,-0.143436439377246,274
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (all),Generic LLM,Quitting,0.3175182481751825,0.7335766423357665,0.06816280507765615,0.11054566013258998,0.12757643454260695,274
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (select),Generic LLM,Content,0.3248175182481752,0.7956204379562044,0.028443285927856832,0.1153687858009762,-0.01947442701124089,274
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (select),Generic LLM,Coping,0.2846715328467153,0.7481751824817519,0.028983672952790807,0.11251083305725192,-0.06547363354357995,274
Grok-4-Fast,x-ai_grok-4-fast,Few-shot (select),Generic LLM,Quitting,0.31386861313868614,0.7226277372262774,0.08127485776454013,0.1606079246516723,-0.016565877963619902,274
Grok-4-Fast,x-ai_grok-4-fast,Continuous (NL),Generic LLM,Content,0.34306569343065696,0.8941605839416058,-0.016739506885462108,0.044913040768090856,0.0662164026963223,274
Grok-4-Fast,x-ai_grok-4-fast,Continuous (NL),Generic LLM,Coping,0.31386861313868614,0.8248175182481752,0.013614690845029864,0.13753705383887885,0.06074659237947677,274
Grok-4-Fast,x-ai_grok-4-fast,Continuous (NL),Generic LLM,Quitting,0.2591240875912409,0.7846715328467153,0.010425562197552085,0.16673441411321474,0.06583801797848225,274
Grok-4-Fast,x-ai_grok-4-fast,Digital Twin (70/30),Digital Twin,Content,0.4813664596273292,0.8757763975155279,0.22995188452285487,0.3409529394833443,0.19999999999999998,322
Grok-4-Fast,x-ai_grok-4-fast,Digital Twin (70/30),Digital Twin,Coping,0.43653250773993807,0.8390092879256966,0.22645928733091214,0.36874291446087615,0.3333333333333333,323
Grok-4-Fast,x-ai_grok-4-fast,Digital Twin (70/30),Digital Twin,Quitting,0.43653250773993807,0.8513931888544891,0.23153546497947664,0.4211379125445112,0.3333333333333333,323
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (all),Generic LLM,Content,0.30656934306569344,0.791970802919708,-0.03729975292898713,-0.009781837510578331,0.025566315640765908,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (all),Generic LLM,Coping,0.34306569343065696,0.7664233576642335,0.06617438227776185,0.030008504689862707,-0.07558144408160695,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (all),Generic LLM,Quitting,0.31386861313868614,0.7700729927007299,0.05085495283018859,0.04573408171205494,0.055672055025593754,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (select),Generic LLM,Content,0.3795620437956204,0.8029197080291971,0.06986960602248438,0.10364303322314004,0.16333205031391723,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (select),Generic LLM,Coping,0.33211678832116787,0.781021897810219,0.050340909090908936,0.06358737263392156,0.05128205128205131,274
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (select),Generic LLM,Quitting,0.2846715328467153,0.7773722627737226,0.022105684839214934,0.08259533507737804,0.0924839684279443,274
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (all),Generic LLM,Content,0.3248175182481752,0.7627737226277372,0.01754045934683579,0.0947054733374985,0.03230380011467996,274
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (all),Generic LLM,Coping,0.28832116788321166,0.6970802919708029,0.03322114862664216,0.057138052411136994,-0.0037215165615433607,274
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (all),Generic LLM,Quitting,0.28832116788321166,0.7043795620437956,0.029445423334725995,0.10090973352100903,0.08091839876593987,274
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (select),Generic LLM,Content,0.3759124087591241,0.7773722627737226,0.10710065937416613,0.08168831444348912,0.006283135632955283,274
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (select),Generic LLM,Coping,0.2664233576642336,0.6605839416058394,0.026479530509792792,0.028223377001539752,-0.030494168081759802,274
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (select),Generic LLM,Quitting,0.291970802919708,0.7043795620437956,0.05463470157217043,0.10708259980446479,-0.014540566087083848,274
Gemini-2.5-Pro,gemini-2.5-pro,Continuous (NL),Generic LLM,Content,0.3102189781021898,0.7518248175182481,-0.018246883479491993,0.023860382729070727,0.028947620331950787,274
Gemini-2.5-Pro,gemini-2.5-pro,Continuous (NL),Generic LLM,Coping,0.3102189781021898,0.7481751824817519,0.0200768255530116,0.0018548297879635244,-0.011627906976744201,274
Gemini-2.5-Pro,gemini-2.5-pro,Continuous (NL),Generic LLM,Quitting,0.25547445255474455,0.781021897810219,-0.01010174024612831,0.037711220470869854,0.04553885362310087,274
Gemini-2.5-Pro,gemini-2.5-pro,Digital Twin (70/30),Digital Twin,Content,0.422360248447205,0.8291925465838509,0.16261901765865527,0.25641712183459014,0.3333333333333333,322
Gemini-2.5-Pro,gemini-2.5-pro,Digital Twin (70/30),Digital Twin,Coping,0.43343653250773995,0.8204334365325078,0.23345566780355587,0.3443080300832913,0.7142857142857142,323
Gemini-2.5-Pro,gemini-2.5-pro,Digital Twin (70/30),Digital Twin,Quitting,0.44891640866873067,0.8080495356037152,0.2561743967915131,0.3985015338141389,0.9999999999999998,323
