model,domain,metric,best_condition_key,best_condition,best_estimate,ranking,comparable_to_best,significantly_worse_than_best,n_significant_pairs,significant_pairs
GPT-4o-mini,Quitting,accuracy,full_pp_no_cbtact,PP + history (no CBT/ACT),0.2973273942093541,PP + history (no CBT/ACT) > PP + history + CBT/ACT > History + ratings only > History text only,"PP + history + CBT/ACT (+0.003 [-0.022, +0.031]); History + ratings only (+0.022 [-0.000, +0.043])","History text only (+0.072 [+0.042, +0.103])",3,PP + history + CBT/ACT > History text only (+0.069); PP + history (no CBT/ACT) > History text only (+0.072); History + ratings only > History text only (+0.050)
GPT-4o-mini,Quitting,macro_f1,pp_cbtact,PP + history + CBT/ACT,0.22397975711692383,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.022 [-0.004, +0.047])","History + ratings only (+0.046 [+0.015, +0.076]); History text only (+0.076 [+0.043, +0.109])",5,PP + history + CBT/ACT > History + ratings only (+0.046); PP + history + CBT/ACT > History text only (+0.076); PP + history (no CBT/ACT) > History + ratings only (+0.023); PP + history (no CBT/ACT) > History text only (+0.054); History + ratings only > History text only (+0.031)
GPT-4o-mini,Quitting,qwk,pp_cbtact,PP + history + CBT/ACT,0.24824768012713183,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.013 [-0.030, +0.055])","History + ratings only (+0.124 [+0.075, +0.176]); History text only (+0.198 [+0.130, +0.263])",5,PP + history + CBT/ACT > History + ratings only (+0.124); PP + history + CBT/ACT > History text only (+0.198); PP + history (no CBT/ACT) > History + ratings only (+0.111); PP + history (no CBT/ACT) > History text only (+0.184); History + ratings only > History text only (+0.073)
GPT-4o-mini,Quitting,directional_accuracy,full_pp_no_cbtact,PP + history (no CBT/ACT),0.4866369710467706,PP + history (no CBT/ACT) > PP + history + CBT/ACT > History + ratings only > History text only,"PP + history + CBT/ACT (+0.024 [-0.006, +0.058])","History + ratings only (+0.037 [+0.011, +0.062]); History text only (+0.146 [+0.106, +0.185])",4,PP + history + CBT/ACT > History text only (+0.121); PP + history (no CBT/ACT) > History + ratings only (+0.037); PP + history (no CBT/ACT) > History text only (+0.146); History + ratings only > History text only (+0.109)
GPT-4o-mini,Quitting,directional_macro_f1,pp_cbtact,PP + history + CBT/ACT,0.41768326057644806,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.003 [-0.032, +0.037])","History + ratings only (+0.056 [+0.018, +0.091]); History text only (+0.115 [+0.065, +0.162])",5,PP + history + CBT/ACT > History + ratings only (+0.056); PP + history + CBT/ACT > History text only (+0.115); PP + history (no CBT/ACT) > History + ratings only (+0.053); PP + history (no CBT/ACT) > History text only (+0.113); History + ratings only > History text only (+0.060)
GPT-5,Content,accuracy,pp_cbtact,PP + history + CBT/ACT,0.45657015590200445,PP + history + CBT/ACT > History + ratings only > PP + history (no CBT/ACT) > History text only,"PP + history (no CBT/ACT) (+0.019 [-0.008, +0.046]); History + ratings only (+0.010 [-0.017, +0.037])","History text only (+0.125 [+0.085, +0.165])",3,PP + history + CBT/ACT > History text only (+0.125); PP + history (no CBT/ACT) > History text only (+0.106); History + ratings only > History text only (+0.115)
GPT-5,Content,macro_f1,history_ratings_only,History + ratings only,0.3473926086222753,History + ratings only > PP + history + CBT/ACT > PP + history (no CBT/ACT) > History text only,"PP + history + CBT/ACT (+0.012 [-0.022, +0.053]); PP + history (no CBT/ACT) (+0.023 [-0.007, +0.056])","History text only (+0.165 [+0.116, +0.216])",3,PP + history + CBT/ACT > History text only (+0.153); PP + history (no CBT/ACT) > History text only (+0.142); History + ratings only > History text only (+0.165)
GPT-5,Content,qwk,pp_cbtact,PP + history + CBT/ACT,0.3875714048184691,PP + history + CBT/ACT > History + ratings only > PP + history (no CBT/ACT) > History text only,"PP + history (no CBT/ACT) (+0.032 [-0.003, +0.070]); History + ratings only (+0.016 [-0.024, +0.056])","History text only (+0.382 [+0.302, +0.457])",3,PP + history + CBT/ACT > History text only (+0.382); PP + history (no CBT/ACT) > History text only (+0.350); History + ratings only > History text only (+0.366)
GPT-5,Content,directional_accuracy,pp_cbtact,PP + history + CBT/ACT,0.6692650334075724,PP + history + CBT/ACT > History + ratings only > PP + history (no CBT/ACT) > History text only,"PP + history (no CBT/ACT) (+0.021 [-0.001, +0.044]); History + ratings only (+0.016 [-0.006, +0.038])","History text only (+0.038 [+0.003, +0.074])",1,PP + history + CBT/ACT > History text only (+0.038)
GPT-5,Content,directional_macro_f1,history_ratings_only,History + ratings only,0.5006089631741756,History + ratings only > PP + history + CBT/ACT > PP + history (no CBT/ACT) > History text only,"PP + history + CBT/ACT (+0.014 [-0.019, +0.053]); PP + history (no CBT/ACT) (+0.015 [-0.019, +0.052])","History text only (+0.202 [+0.149, +0.252])",3,PP + history + CBT/ACT > History text only (+0.187); PP + history (no CBT/ACT) > History text only (+0.187); History + ratings only > History text only (+0.202)
GPT-5,Coping,accuracy,pp_cbtact,PP + history + CBT/ACT,0.3975501113585746,PP + history + CBT/ACT > History + ratings only > PP + history (no CBT/ACT) > History text only,"History + ratings only (+0.024 [-0.001, +0.052])","PP + history (no CBT/ACT) (+0.038 [+0.013, +0.062]); History text only (+0.154 [+0.108, +0.198])",4,PP + history + CBT/ACT > PP + history (no CBT/ACT) (+0.038); PP + history + CBT/ACT > History text only (+0.154); PP + history (no CBT/ACT) > History text only (+0.116); History + ratings only > History text only (+0.129)
GPT-5,Coping,macro_f1,pp_cbtact,PP + history + CBT/ACT,0.3593941060654567,PP + history + CBT/ACT > History + ratings only > PP + history (no CBT/ACT) > History text only,"PP + history (no CBT/ACT) (+0.026 [-0.002, +0.053]); History + ratings only (+0.008 [-0.022, +0.039])","History text only (+0.215 [+0.170, +0.258])",3,PP + history + CBT/ACT > History text only (+0.215); PP + history (no CBT/ACT) > History text only (+0.189); History + ratings only > History text only (+0.207)
GPT-5,Coping,qwk,pp_cbtact,PP + history + CBT/ACT,0.4891458456003376,PP + history + CBT/ACT > History + ratings only > PP + history (no CBT/ACT) > History text only,"History + ratings only (+0.024 [-0.011, +0.059])","PP + history (no CBT/ACT) (+0.055 [+0.022, +0.090]); History text only (+0.496 [+0.416, +0.570])",5,PP + history + CBT/ACT > PP + history (no CBT/ACT) (+0.055); PP + history + CBT/ACT > History text only (+0.496); History + ratings only > PP + history (no CBT/ACT) (+0.031); PP + history (no CBT/ACT) > History text only (+0.441); History + ratings only > History text only (+0.472)
GPT-5,Coping,directional_accuracy,pp_cbtact,PP + history + CBT/ACT,0.6224944320712695,PP + history + CBT/ACT > History + ratings only > PP + history (no CBT/ACT) > History text only,none,"PP + history (no CBT/ACT) (+0.058 [+0.034, +0.082]); History + ratings only (+0.049 [+0.026, +0.075]); History text only (+0.218 [+0.176, +0.262])",5,PP + history + CBT/ACT > PP + history (no CBT/ACT) (+0.058); PP + history + CBT/ACT > History + ratings only (+0.049); PP + history + CBT/ACT > History text only (+0.218); PP + history (no CBT/ACT) > History text only (+0.160); History + ratings only > History text only (+0.169)
GPT-5,Coping,directional_macro_f1,pp_cbtact,PP + history + CBT/ACT,0.5331212603196244,PP + history + CBT/ACT > History + ratings only > PP + history (no CBT/ACT) > History text only,none,"PP + history (no CBT/ACT) (+0.057 [+0.031, +0.083]); History + ratings only (+0.039 [+0.011, +0.067]); History text only (+0.221 [+0.173, +0.268])",5,PP + history + CBT/ACT > PP + history (no CBT/ACT) (+0.057); PP + history + CBT/ACT > History + ratings only (+0.039); PP + history + CBT/ACT > History text only (+0.221); PP + history (no CBT/ACT) > History text only (+0.164); History + ratings only > History text only (+0.182)
GPT-5,Quitting,accuracy,pp_cbtact,PP + history + CBT/ACT,0.4265033407572383,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.017 [-0.010, +0.046])","History + ratings only (+0.041 [+0.017, +0.066]); History text only (+0.207 [+0.159, +0.255])",5,PP + history + CBT/ACT > History + ratings only (+0.041); PP + history + CBT/ACT > History text only (+0.207); PP + history (no CBT/ACT) > History + ratings only (+0.024); PP + history (no CBT/ACT) > History text only (+0.190); History + ratings only > History text only (+0.166)
GPT-5,Quitting,macro_f1,pp_cbtact,PP + history + CBT/ACT,0.40347309574779705,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.017 [-0.011, +0.045])","History + ratings only (+0.035 [+0.006, +0.062]); History text only (+0.246 [+0.198, +0.292])",4,PP + history + CBT/ACT > History + ratings only (+0.035); PP + history + CBT/ACT > History text only (+0.246); PP + history (no CBT/ACT) > History text only (+0.229); History + ratings only > History text only (+0.211)
GPT-5,Quitting,qwk,pp_cbtact,PP + history + CBT/ACT,0.5343191323628418,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,none,"PP + history (no CBT/ACT) (+0.044 [+0.009, +0.077]); History + ratings only (+0.051 [+0.019, +0.082]); History text only (+0.525 [+0.451, +0.593])",5,PP + history + CBT/ACT > PP + history (no CBT/ACT) (+0.044); PP + history + CBT/ACT > History + ratings only (+0.051); PP + history + CBT/ACT > History text only (+0.525); PP + history (no CBT/ACT) > History text only (+0.481); History + ratings only > History text only (+0.474)
GPT-5,Quitting,directional_accuracy,pp_cbtact,PP + history + CBT/ACT,0.6636971046770601,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,none,"PP + history (no CBT/ACT) (+0.033 [+0.010, +0.059]); History + ratings only (+0.045 [+0.020, +0.069]); History text only (+0.350 [+0.299, +0.399])",5,PP + history + CBT/ACT > PP + history (no CBT/ACT) (+0.033); PP + history + CBT/ACT > History + ratings only (+0.045); PP + history + CBT/ACT > History text only (+0.350); PP + history (no CBT/ACT) > History text only (+0.316); History + ratings only > History text only (+0.305)
GPT-5,Quitting,directional_macro_f1,pp_cbtact,PP + history + CBT/ACT,0.5780304137510823,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,none,"PP + history (no CBT/ACT) (+0.030 [+0.002, +0.059]); History + ratings only (+0.036 [+0.008, +0.065]); History text only (+0.289 [+0.235, +0.337])",5,PP + history + CBT/ACT > PP + history (no CBT/ACT) (+0.030); PP + history + CBT/ACT > History + ratings only (+0.036); PP + history + CBT/ACT > History text only (+0.289); PP + history (no CBT/ACT) > History text only (+0.259); History + ratings only > History text only (+0.253)
Grok-4.3,Content,accuracy,pp_cbtact,PP + history + CBT/ACT,0.4922048997772829,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.002 [-0.020, +0.025]); History + ratings only (+0.013 [-0.012, +0.038])","History text only (+0.166 [+0.119, +0.213])",3,PP + history + CBT/ACT > History text only (+0.166); PP + history (no CBT/ACT) > History text only (+0.164); History + ratings only > History text only (+0.153)
Grok-4.3,Content,macro_f1,pp_cbtact,PP + history + CBT/ACT,0.3718127815766571,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.010 [-0.017, +0.043]); History + ratings only (+0.030 [-0.008, +0.070])","History text only (+0.213 [+0.162, +0.265])",3,PP + history + CBT/ACT > History text only (+0.213); PP + history (no CBT/ACT) > History text only (+0.203); History + ratings only > History text only (+0.183)
Grok-4.3,Content,qwk,pp_cbtact,PP + history + CBT/ACT,0.43189518799331983,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.008 [-0.021, +0.039]); History + ratings only (+0.031 [-0.002, +0.065])","History text only (+0.410 [+0.319, +0.497])",3,PP + history + CBT/ACT > History text only (+0.410); PP + history (no CBT/ACT) > History text only (+0.402); History + ratings only > History text only (+0.379)
Grok-4.3,Content,directional_accuracy,full_pp_no_cbtact,PP + history (no CBT/ACT),0.7193763919821826,PP + history (no CBT/ACT) > PP + history + CBT/ACT > History + ratings only > History text only,"PP + history + CBT/ACT (+0.010 [-0.008, +0.028])","History + ratings only (+0.027 [+0.007, +0.047]); History text only (+0.104 [+0.070, +0.136])",4,PP + history + CBT/ACT > History text only (+0.094); PP + history (no CBT/ACT) > History + ratings only (+0.027); PP + history (no CBT/ACT) > History text only (+0.104); History + ratings only > History text only (+0.077)
Grok-4.3,Content,directional_macro_f1,history_ratings_only,History + ratings only,0.5263836831492836,History + ratings only > PP + history + CBT/ACT > PP + history (no CBT/ACT) > History text only,"PP + history + CBT/ACT (+0.002 [-0.031, +0.033]); PP + history (no CBT/ACT) (+0.003 [-0.022, +0.029])","History text only (+0.215 [+0.153, +0.272])",3,PP + history + CBT/ACT > History text only (+0.214); PP + history (no CBT/ACT) > History text only (+0.213); History + ratings only > History text only (+0.215)
Grok-4.3,Coping,accuracy,pp_cbtact,PP + history + CBT/ACT,0.4287305122494432,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.017 [-0.011, +0.045]); History + ratings only (+0.021 [-0.007, +0.049])","History text only (+0.197 [+0.153, +0.245])",3,PP + history + CBT/ACT > History text only (+0.197); PP + history (no CBT/ACT) > History text only (+0.180); History + ratings only > History text only (+0.176)
Grok-4.3,Coping,macro_f1,pp_cbtact,PP + history + CBT/ACT,0.3863474065493991,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.010 [-0.017, +0.039]); History + ratings only (+0.011 [-0.014, +0.037])","History text only (+0.241 [+0.193, +0.285])",3,PP + history + CBT/ACT > History text only (+0.241); PP + history (no CBT/ACT) > History text only (+0.231); History + ratings only > History text only (+0.230)
Grok-4.3,Coping,qwk,pp_cbtact,PP + history + CBT/ACT,0.5100064918781624,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.004 [-0.029, +0.039]); History + ratings only (+0.026 [-0.011, +0.062])","History text only (+0.526 [+0.438, +0.608])",3,PP + history + CBT/ACT > History text only (+0.526); PP + history (no CBT/ACT) > History text only (+0.522); History + ratings only > History text only (+0.500)
Grok-4.3,Coping,directional_accuracy,pp_cbtact,PP + history + CBT/ACT,0.6447661469933185,PP + history + CBT/ACT > History + ratings only > PP + history (no CBT/ACT) > History text only,"PP + history (no CBT/ACT) (+0.004 [-0.019, +0.028]); History + ratings only (+0.003 [-0.022, +0.028])","History text only (+0.254 [+0.209, +0.299])",3,PP + history + CBT/ACT > History text only (+0.254); PP + history (no CBT/ACT) > History text only (+0.249); History + ratings only > History text only (+0.251)
Grok-4.3,Coping,directional_macro_f1,history_ratings_only,History + ratings only,0.5511794402021538,History + ratings only > PP + history + CBT/ACT > PP + history (no CBT/ACT) > History text only,"PP + history + CBT/ACT (+0.015 [-0.018, +0.047]); PP + history (no CBT/ACT) (+0.015 [-0.015, +0.045])","History text only (+0.236 [+0.188, +0.282])",3,PP + history + CBT/ACT > History text only (+0.221); PP + history (no CBT/ACT) > History text only (+0.221); History + ratings only > History text only (+0.236)
Grok-4.3,Quitting,accuracy,history_ratings_only,History + ratings only,0.44988864142538976,History + ratings only > PP + history + CBT/ACT > PP + history (no CBT/ACT) > History text only,"PP + history + CBT/ACT (+0.002 [-0.021, +0.025]); PP + history (no CBT/ACT) (+0.018 [-0.004, +0.039])","History text only (+0.225 [+0.177, +0.272])",3,PP + history + CBT/ACT > History text only (+0.223); PP + history (no CBT/ACT) > History text only (+0.207); History + ratings only > History text only (+0.225)
Grok-4.3,Quitting,macro_f1,history_ratings_only,History + ratings only,0.4264457780718905,History + ratings only > PP + history + CBT/ACT > PP + history (no CBT/ACT) > History text only,"PP + history + CBT/ACT (+0.016 [-0.011, +0.041])","PP + history (no CBT/ACT) (+0.026 [+0.001, +0.052]); History text only (+0.281 [+0.233, +0.328])",4,PP + history + CBT/ACT > History text only (+0.265); History + ratings only > PP + history (no CBT/ACT) (+0.026); PP + history (no CBT/ACT) > History text only (+0.256); History + ratings only > History text only (+0.281)
Grok-4.3,Quitting,qwk,pp_cbtact,PP + history + CBT/ACT,0.5478547910782927,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.010 [-0.025, +0.045]); History + ratings only (+0.016 [-0.017, +0.048])","History text only (+0.531 [+0.451, +0.609])",3,PP + history + CBT/ACT > History text only (+0.531); PP + history (no CBT/ACT) > History text only (+0.521); History + ratings only > History text only (+0.515)
Grok-4.3,Quitting,directional_accuracy,history_ratings_only,History + ratings only,0.6815144766146993,History + ratings only > PP + history + CBT/ACT > PP + history (no CBT/ACT) > History text only,"PP + history + CBT/ACT (+0.008 [-0.013, +0.028]); PP + history (no CBT/ACT) (+0.021 [+0.000, +0.041])","History text only (+0.291 [+0.247, +0.336])",3,PP + history + CBT/ACT > History text only (+0.283); PP + history (no CBT/ACT) > History text only (+0.269); History + ratings only > History text only (+0.291)
Grok-4.3,Quitting,directional_macro_f1,history_ratings_only,History + ratings only,0.5946939143400124,History + ratings only > PP + history + CBT/ACT > PP + history (no CBT/ACT) > History text only,"PP + history + CBT/ACT (+0.026 [-0.002, +0.053])","PP + history (no CBT/ACT) (+0.043 [+0.014, +0.070]); History text only (+0.273 [+0.224, +0.322])",4,PP + history + CBT/ACT > History text only (+0.247); History + ratings only > PP + history (no CBT/ACT) (+0.043); PP + history (no CBT/ACT) > History text only (+0.230); History + ratings only > History text only (+0.273)
Gemini-2.5-Pro,Content,accuracy,full_pp_no_cbtact,PP + history (no CBT/ACT),0.45657015590200445,PP + history (no CBT/ACT) > History + ratings only > PP + history + CBT/ACT > History text only,"PP + history + CBT/ACT (+0.016 [-0.011, +0.044]); History + ratings only (+0.007 [-0.025, +0.036])","History text only (+0.136 [+0.092, +0.180])",3,PP + history + CBT/ACT > History text only (+0.120); PP + history (no CBT/ACT) > History text only (+0.136); History + ratings only > History text only (+0.129)
Gemini-2.5-Pro,Content,macro_f1,history_ratings_only,History + ratings only,0.3525030682129311,History + ratings only > PP + history (no CBT/ACT) > PP + history + CBT/ACT > History text only,"PP + history (no CBT/ACT) (+0.031 [-0.006, +0.069])","PP + history + CBT/ACT (+0.042 [+0.005, +0.082]); History text only (+0.170 [+0.120, +0.222])",4,History + ratings only > PP + history + CBT/ACT (+0.042); PP + history + CBT/ACT > History text only (+0.128); PP + history (no CBT/ACT) > History text only (+0.140); History + ratings only > History text only (+0.170)
Gemini-2.5-Pro,Content,qwk,pp_cbtact,PP + history + CBT/ACT,0.3380394611548013,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.001 [-0.043, +0.040]); History + ratings only (+0.008 [-0.050, +0.067])","History text only (+0.308 [+0.217, +0.396])",3,PP + history + CBT/ACT > History text only (+0.308); PP + history (no CBT/ACT) > History text only (+0.307); History + ratings only > History text only (+0.300)
Gemini-2.5-Pro,Content,directional_accuracy,pp_cbtact,PP + history + CBT/ACT,0.6848552338530067,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.006 [-0.018, +0.028])","History + ratings only (+0.037 [+0.009, +0.062]); History text only (+0.067 [+0.033, +0.100])",4,PP + history + CBT/ACT > History + ratings only (+0.037); PP + history + CBT/ACT > History text only (+0.067); PP + history (no CBT/ACT) > History + ratings only (+0.031); PP + history (no CBT/ACT) > History text only (+0.061)
Gemini-2.5-Pro,Content,directional_macro_f1,history_ratings_only,History + ratings only,0.47748088498635294,History + ratings only > PP + history + CBT/ACT > PP + history (no CBT/ACT) > History text only,"PP + history + CBT/ACT (+0.015 [-0.028, +0.060]); PP + history (no CBT/ACT) (+0.015 [-0.023, +0.052])","History text only (+0.160 [+0.110, +0.209])",3,PP + history + CBT/ACT > History text only (+0.145); PP + history (no CBT/ACT) > History text only (+0.145); History + ratings only > History text only (+0.160)
Gemini-2.5-Pro,Coping,accuracy,full_pp_no_cbtact,PP + history (no CBT/ACT),0.4153674832962138,PP + history (no CBT/ACT) > PP + history + CBT/ACT > History + ratings only > History text only,"PP + history + CBT/ACT (+0.011 [-0.015, +0.038])","History + ratings only (+0.033 [+0.004, +0.063]); History text only (+0.154 [+0.104, +0.203])",4,PP + history + CBT/ACT > History text only (+0.143); PP + history (no CBT/ACT) > History + ratings only (+0.033); PP + history (no CBT/ACT) > History text only (+0.154); History + ratings only > History text only (+0.120)
Gemini-2.5-Pro,Coping,macro_f1,full_pp_no_cbtact,PP + history (no CBT/ACT),0.37105594326791713,PP + history (no CBT/ACT) > PP + history + CBT/ACT > History + ratings only > History text only,"PP + history + CBT/ACT (+0.013 [-0.016, +0.045]); History + ratings only (+0.026 [-0.004, +0.058])","History text only (+0.219 [+0.169, +0.266])",3,PP + history + CBT/ACT > History text only (+0.206); PP + history (no CBT/ACT) > History text only (+0.219); History + ratings only > History text only (+0.192)
Gemini-2.5-Pro,Coping,qwk,pp_cbtact,PP + history + CBT/ACT,0.42907266523923093,PP + history + CBT/ACT > PP + history (no CBT/ACT) > History + ratings only > History text only,"PP + history (no CBT/ACT) (+0.008 [-0.033, +0.049]); History + ratings only (+0.020 [-0.031, +0.069])","History text only (+0.436 [+0.347, +0.521])",3,PP + history + CBT/ACT > History text only (+0.436); PP + history (no CBT/ACT) > History text only (+0.428); History + ratings only > History text only (+0.416)
Gemini-2.5-Pro,Coping,directional_accuracy,full_pp_no_cbtact,PP + history (no CBT/ACT),0.6314031180400891,PP + history (no CBT/ACT) > PP + history + CBT/ACT > History + ratings only > History text only,"PP + history + CBT/ACT (+0.002 [-0.022, +0.027])","History + ratings only (+0.038 [+0.012, +0.065]); History text only (+0.164 [+0.123, +0.204])",5,PP + history + CBT/ACT > History + ratings only (+0.036); PP + history + CBT/ACT > History text only (+0.161); PP + history (no CBT/ACT) > History + ratings only (+0.038); PP + history (no CBT/ACT) > History text only (+0.164); History + ratings only > History text only (+0.126)
Gemini-2.5-Pro,Coping,directional_macro_f1,full_pp_no_cbtact,PP + history (no CBT/ACT),0.4990842490842491,PP + history (no CBT/ACT) > PP + history + CBT/ACT > History + ratings only > History text only,"PP + history + CBT/ACT (+0.014 [-0.019, +0.051]); History + ratings only (+0.015 [-0.018, +0.049])","History text only (+0.160 [+0.106, +0.212])",3,PP + history + CBT/ACT > History text only (+0.146); PP + history (no CBT/ACT) > History text only (+0.160); History + ratings only > History text only (+0.145)
