model,condition_key,condition,domain,kind,value,count,proportion
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,rating,3,410,0.45657015590200445
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,rating,4,434,0.48329621380846327
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,rating,5,0,0.0
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,signed_error,-4,0,0.0
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,signed_error,-3,13,0.014476614699331848
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,signed_error,-2,131,0.14587973273942093
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,signed_error,-1,266,0.2962138084632517
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,signed_error,0,247,0.2750556792873051
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,signed_error,1,122,0.1358574610244989
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,signed_error,2,94,0.10467706013363029
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,signed_error,3,25,0.02783964365256125
GPT-4o-mini,history_ratings_only,History + ratings,Quitting,signed_error,4,0,0.0
GPT-4o-mini,history_text_only,History text only,Content,rating,1,0,0.0
GPT-4o-mini,history_text_only,History text only,Content,rating,2,1,0.0011135857461024498
GPT-4o-mini,history_text_only,History text only,Content,rating,3,73,0.08129175946547884
GPT-4o-mini,history_text_only,History text only,Content,rating,4,824,0.9175946547884187
GPT-4o-mini,history_text_only,History text only,Content,rating,5,0,0.0
GPT-4o-mini,history_text_only,History text only,Content,signed_error,-4,0,0.0
GPT-4o-mini,history_text_only,History text only,Content,signed_error,-3,1,0.0011135857461024498
GPT-4o-mini,history_text_only,History text only,Content,signed_error,-2,27,0.030066815144766147
GPT-4o-mini,history_text_only,History text only,Content,signed_error,-1,305,0.33964365256124723
GPT-4o-mini,history_text_only,History text only,Content,signed_error,0,293,0.3262806236080178
GPT-4o-mini,history_text_only,History text only,Content,signed_error,1,195,0.21714922048997773
GPT-4o-mini,history_text_only,History text only,Content,signed_error,2,53,0.05902004454342984
GPT-4o-mini,history_text_only,History text only,Content,signed_error,3,24,0.026726057906458798
GPT-4o-mini,history_text_only,History text only,Content,signed_error,4,0,0.0
GPT-4o-mini,history_text_only,History text only,Coping,rating,1,1,0.0011135857461024498
GPT-4o-mini,history_text_only,History text only,Coping,rating,2,33,0.036748329621380846
GPT-4o-mini,history_text_only,History text only,Coping,rating,3,635,0.7071269487750557
GPT-4o-mini,history_text_only,History text only,Coping,rating,4,229,0.25501113585746105
GPT-4o-mini,history_text_only,History text only,Coping,rating,5,0,0.0
GPT-4o-mini,history_text_only,History text only,Coping,signed_error,-4,1,0.0011135857461024498
GPT-4o-mini,history_text_only,History text only,Coping,signed_error,-3,9,0.01002227171492205
GPT-4o-mini,history_text_only,History text only,Coping,signed_error,-2,194,0.21603563474387527
GPT-4o-mini,history_text_only,History text only,Coping,signed_error,-1,281,0.3129175946547884
GPT-4o-mini,history_text_only,History text only,Coping,signed_error,0,197,0.21937639198218262
GPT-4o-mini,history_text_only,History text only,Coping,signed_error,1,104,0.11581291759465479
GPT-4o-mini,history_text_only,History text only,Coping,signed_error,2,98,0.1091314031180401
GPT-4o-mini,history_text_only,History text only,Coping,signed_error,3,14,0.015590200445434299
GPT-4o-mini,history_text_only,History text only,Coping,signed_error,4,0,0.0
GPT-4o-mini,history_text_only,History text only,Quitting,rating,1,1,0.0011135857461024498
GPT-4o-mini,history_text_only,History text only,Quitting,rating,2,86,0.0957683741648107
GPT-4o-mini,history_text_only,History text only,Quitting,rating,3,546,0.6080178173719376
GPT-4o-mini,history_text_only,History text only,Quitting,rating,4,265,0.2951002227171492
GPT-4o-mini,history_text_only,History text only,Quitting,rating,5,0,0.0
GPT-4o-mini,history_text_only,History text only,Quitting,signed_error,-4,1,0.0011135857461024498
GPT-4o-mini,history_text_only,History text only,Quitting,signed_error,-3,25,0.02783964365256125
GPT-4o-mini,history_text_only,History text only,Quitting,signed_error,-2,189,0.21046770601336304
GPT-4o-mini,history_text_only,History text only,Quitting,signed_error,-1,265,0.2951002227171492
GPT-4o-mini,history_text_only,History text only,Quitting,signed_error,0,202,0.22494432071269488
GPT-4o-mini,history_text_only,History text only,Quitting,signed_error,1,115,0.12806236080178174
GPT-4o-mini,history_text_only,History text only,Quitting,signed_error,2,81,0.09020044543429843
GPT-4o-mini,history_text_only,History text only,Quitting,signed_error,3,20,0.022271714922048998
GPT-4o-mini,history_text_only,History text only,Quitting,signed_error,4,0,0.0
GPT-5,pp_cbtact,PP + CBT/ACT,Content,rating,1,4,0.004454342984409799
GPT-5,pp_cbtact,PP + CBT/ACT,Content,rating,2,27,0.030066815144766147
GPT-5,pp_cbtact,PP + CBT/ACT,Content,rating,3,232,0.2583518930957684
GPT-5,pp_cbtact,PP + CBT/ACT,Content,rating,4,407,0.4532293986636971
GPT-5,pp_cbtact,PP + CBT/ACT,Content,rating,5,228,0.25389755011135856
GPT-5,pp_cbtact,PP + CBT/ACT,Content,signed_error,-4,0,0.0
GPT-5,pp_cbtact,PP + CBT/ACT,Content,signed_error,-3,5,0.005567928730512249
GPT-5,pp_cbtact,PP + CBT/ACT,Content,signed_error,-2,42,0.0467706013363029
GPT-5,pp_cbtact,PP + CBT/ACT,Content,signed_error,-1,207,0.23051224944320714
GPT-5,pp_cbtact,PP + CBT/ACT,Content,signed_error,0,410,0.45657015590200445
GPT-5,pp_cbtact,PP + CBT/ACT,Content,signed_error,1,167,0.18596881959910913
GPT-5,pp_cbtact,PP + CBT/ACT,Content,signed_error,2,50,0.0556792873051225
GPT-5,pp_cbtact,PP + CBT/ACT,Content,signed_error,3,13,0.014476614699331848
GPT-5,pp_cbtact,PP + CBT/ACT,Content,signed_error,4,4,0.004454342984409799
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,rating,1,27,0.030066815144766147
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,rating,2,117,0.13028953229398663
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,rating,3,227,0.25278396436525613
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,rating,4,368,0.40979955456570155
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,rating,5,159,0.17706013363028952
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,signed_error,-4,1,0.0011135857461024498
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,signed_error,-3,15,0.01670378619153675
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,signed_error,-2,59,0.06570155902004454
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,signed_error,-1,221,0.24610244988864144
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,signed_error,0,357,0.3975501113585746
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,signed_error,1,166,0.18485523385300667
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,signed_error,2,53,0.05902004454342984
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,signed_error,3,25,0.02783964365256125
GPT-5,pp_cbtact,PP + CBT/ACT,Coping,signed_error,4,1,0.0011135857461024498
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,rating,1,45,0.05011135857461024
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,rating,2,120,0.133630289532294
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,rating,3,200,0.22271714922049
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,rating,4,365,0.4064587973273942
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,rating,5,168,0.1870824053452116
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,-4,2,0.0022271714922048997
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,-3,18,0.0200445434298441
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,-2,58,0.0645879732739421
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,-1,212,0.23608017817371937
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,0,383,0.4265033407572383
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,1,156,0.17371937639198218
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,2,45,0.05011135857461024
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,3,23,0.025612472160356347
GPT-5,pp_cbtact,PP + CBT/ACT,Quitting,signed_error,4,1,0.0011135857461024498
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,rating,1,4,0.004454342984409799
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,rating,2,39,0.043429844097995544
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,rating,3,252,0.2806236080178174
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,rating,4,387,0.4309576837416481
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,rating,5,216,0.24053452115812918
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,-4,0,0.0
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,-3,5,0.005567928730512249
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,-2,56,0.062360801781737196
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,-1,224,0.24944320712694878
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,0,393,0.4376391982182628
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,1,154,0.1714922048997773
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,2,47,0.052338530066815145
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,3,13,0.014476614699331848
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Content,signed_error,4,6,0.0066815144766146995
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,rating,1,47,0.052338530066815145
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,rating,2,134,0.1492204899777283
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,rating,3,218,0.24276169265033407
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,rating,4,353,0.3930957683741648
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,rating,5,146,0.16258351893095768
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,-4,4,0.004454342984409799
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,-3,21,0.02338530066815145
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,-2,89,0.09910913140311804
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,-1,222,0.24721603563474387
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,0,323,0.3596881959910913
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,1,162,0.18040089086859687
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,2,51,0.05679287305122494
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,3,24,0.026726057906458798
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Coping,signed_error,4,2,0.0022271714922048997
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,rating,1,59,0.06570155902004454
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,rating,2,135,0.15033407572383073
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,rating,3,206,0.22939866369710468
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,rating,4,349,0.388641425389755
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,rating,5,149,0.16592427616926503
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,-4,2,0.0022271714922048997
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,-3,21,0.02338530066815145
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,-2,92,0.10244988864142539
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,-1,213,0.23719376391982183
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,0,368,0.40979955456570155
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,1,132,0.14699331848552338
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,2,45,0.05011135857461024
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,3,22,0.024498886414253896
GPT-5,full_pp_no_cbtact,"PP, no CBT/ACT",Quitting,signed_error,4,3,0.0033407572383073497
GPT-5,history_ratings_only,History + ratings,Content,rating,1,6,0.0066815144766146995
GPT-5,history_ratings_only,History + ratings,Content,rating,2,48,0.053452115812917596
GPT-5,history_ratings_only,History + ratings,Content,rating,3,259,0.2884187082405345
GPT-5,history_ratings_only,History + ratings,Content,rating,4,356,0.39643652561247217
GPT-5,history_ratings_only,History + ratings,Content,rating,5,229,0.25501113585746105
GPT-5,history_ratings_only,History + ratings,Content,signed_error,-4,0,0.0
GPT-5,history_ratings_only,History + ratings,Content,signed_error,-3,12,0.013363028953229399
GPT-5,history_ratings_only,History + ratings,Content,signed_error,-2,49,0.05456570155902005
GPT-5,history_ratings_only,History + ratings,Content,signed_error,-1,225,0.2505567928730512
GPT-5,history_ratings_only,History + ratings,Content,signed_error,0,401,0.4465478841870824
GPT-5,history_ratings_only,History + ratings,Content,signed_error,1,143,0.15924276169265034
GPT-5,history_ratings_only,History + ratings,Content,signed_error,2,52,0.05790645879732739
GPT-5,history_ratings_only,History + ratings,Content,signed_error,3,10,0.011135857461024499
GPT-5,history_ratings_only,History + ratings,Content,signed_error,4,6,0.0066815144766146995
GPT-5,history_ratings_only,History + ratings,Coping,rating,1,53,0.05902004454342984
GPT-5,history_ratings_only,History + ratings,Coping,rating,2,135,0.15033407572383073
GPT-5,history_ratings_only,History + ratings,Coping,rating,3,230,0.2561247216035635
GPT-5,history_ratings_only,History + ratings,Coping,rating,4,327,0.36414253897550114
GPT-5,history_ratings_only,History + ratings,Coping,rating,5,153,0.17037861915367483
GPT-5,history_ratings_only,History + ratings,Coping,signed_error,-4,3,0.0033407572383073497
GPT-5,history_ratings_only,History + ratings,Coping,signed_error,-3,24,0.026726057906458798
GPT-5,history_ratings_only,History + ratings,Coping,signed_error,-2,86,0.0957683741648107
GPT-5,history_ratings_only,History + ratings,Coping,signed_error,-1,225,0.2505567928730512
GPT-5,history_ratings_only,History + ratings,Coping,signed_error,0,335,0.3730512249443207
GPT-5,history_ratings_only,History + ratings,Coping,signed_error,1,153,0.17037861915367483
GPT-5,history_ratings_only,History + ratings,Coping,signed_error,2,49,0.05456570155902005
GPT-5,history_ratings_only,History + ratings,Coping,signed_error,3,22,0.024498886414253896
GPT-5,history_ratings_only,History + ratings,Coping,signed_error,4,1,0.0011135857461024498
GPT-5,history_ratings_only,History + ratings,Quitting,rating,1,70,0.0779510022271715
GPT-5,history_ratings_only,History + ratings,Quitting,rating,2,147,0.16369710467706014
GPT-5,history_ratings_only,History + ratings,Quitting,rating,3,202,0.22494432071269488
GPT-5,history_ratings_only,History + ratings,Quitting,rating,4,327,0.36414253897550114
GPT-5,history_ratings_only,History + ratings,Quitting,rating,5,152,0.16926503340757237
